"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"120958","2022-02-22","2022-02-21","I saw the Sussy imposter come from the sky.","imposter","ME, US",""
"120957","2022-02-22","1976-09-09","Sister and myself were waiting on the morning school bus just before sunrise,UFO came up the road shining a very bright light off to the side of the..","Maryville","TN, US",""
"120956","2022-02-22","2022-02-11","Multiple blinking lights mirrored our flight path from MSP to LAX","Minneapolis","MN, US",""
"120955","2022-02-22","2022-02-22","projecting beam","Fowler","CA, US",""
"120954","2022-02-22","2022-02-22","Line of Light Stationary.","Saskatoon","SK, CA",""
"120953","2022-02-21","2022-02-21","Observed 4-5 airplanes converge on sparkling light that changed direction; possible surface to air/AAA used.","Morgantown","WV, US",""
"120952","2022-02-21","2022-02-21","Strange large craft over Connecticut","Middletown","CT, US",""
"120951","2022-02-21","2022-02-19","Pulsating light above ocean being filmed by Surfline Ventura Overhead Cam one could see the ocean moving below this pulsating light.","Bentura","CA, US",""
"120950","2022-02-21","2022-02-20","Green Ball","point hope","AK, US",""
"120949","2022-02-21","2022-02-21","Looked like a glowing fireball of light…with a few red flashes…left a trail of light behind it only saw it for a few seconds before it disappeared","Bathurst, eastern cape","ZA",""
"120948","2022-02-21","2021-02-22","Captured very quick movement and hovering with iphone","Half moon bay","CA, US",""
"120947","2022-02-21","2022-02-20","I have 40 minutes of incredible video","Ridgely","MD, US",""
"120946","2022-02-21","2022-02-12","Notice lights in the sky","Patna","IN",""
"120945","2022-02-21","2022-02-12","Orb we ith light's","Patna","IN",""
"120944","2022-02-21","2022-02-19","Soft V shape","Grapevine","TX, US",""
"120943","2022-02-20","2022-02-19","Heightened Sensed being watched and sensed a craft was directly in front of me.","Malibu - Zuma Beach","CA, US",""
"120942","2022-02-20","2022-02-19","Dark stationary object in western sky","Unknown","IA, US",""
"120941","2022-02-20","2022-02-17","A green, round object, glowing & illuminating clouds.","Kelowna","BC, CA",""
"120940","2022-02-20","2022-02-20","Very fast moving object with a very short lived con-trail that disappeared without noise at high altitude.","Clifton","CO, US",""
"120939","2022-02-20","2021-08-12","It was a blinking spinning light kinda scaring","Bullhead","AZ, US",""
