"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"121930","2022-04-27","2022-04-23","Large white triangular craft passed overhead in orbit","Streetsboro","OH, US",""
"121929","2022-04-27","2022-04-27","Thought it was a bright star until I drove under it.","Ward","AR, US",""
"121928","2022-04-27","2022-03-31","Saw an anomalous amber colored light that flew directly over my car","Littleton","CO, US",""
"121927","2022-04-27","2014-07-02","objet en forme de V","Tourcoing","FR",""
"121926","2022-04-27","2022-04-26","Orb/light in backyard","Fenton","MI, US",""
"121925","2022-04-27","2022-04-26","I was photographing a rainbow when this object appeared inside the bow.","Chevy Chase","MD, US",""
"121924","2022-04-26","2022-04-26","at 9:18EST tonight saw 2 ufo's","Lincolnton","NC, US",""
"121923","2022-04-26","2021-08-19","Ufos flying out of and towards the sun","North York","ON, CA",""
"121921","2022-04-26","2022-04-25","Witnessed star like object make erratic moves, before moving off rapidly.","Cedar Bluff","VA, US",""
"121920","2022-04-26","2022-04-20","Moving light","Towson","MD, US",""
"121919","2022-04-26","2022-04-25","Fly over","Cape Coral","FL, US",""
"121918","2022-04-26","2022-04-15","ligne étrange , avec des fenêtres","Schoenau","FR",""
"121917","2022-04-25","2022-04-22","I went outside to look at the night sky around 8. Then saw the object (lights) with a light beam going to the ground.","Mesa","AZ, US",""
"121916","2022-04-25","1980-07-22","Glowing red then changing to orange eliptic in shape.","Beloit","WI, US",""
"121915","2022-04-25","2022-04-04","I am being indoctrinated by aliens and I am turning them in.","","FL, US",""
"121914","2022-04-25","2017-11-18","Anonymous Sighting. I took 2 photos, the 2nd on this date I destroyed. The first I didn't get a chance to take a photo.","Coweta","OK, US",""
"121913","2022-04-25","2016-07-15","Star-like orb/star floating over the treetops towards me and fading out in front of me","Petersburg","VA, US",""
"121912","2022-04-25","2022-04-24","Ball of light/Orb","Fenton","MI, US",""
"121911","2022-04-25","2022-04-24","The entire island of Catalina shaped shifted and was filled with ufos","Catalina island","CA, US",""
"121910","2022-04-25","2022-04-23","Return of Orb from 4 weeks ago","Woodland Hills","CA, US",""
