"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"121865","2022-04-22","2015-08-15","Cloaked Ship Fell from the sky","Naomi Island in Neebing Ontario","ON, CA",""
"121864","2022-04-22","2022-04-01","3 greys in bedroom","","PA, US",""
"121863","2022-04-22","2022-04-21","Saw it for a short while. But looked like nothing I have seen before.","London","ON, CA",""
"121862","2022-04-22","2022-04-21","2 friends were out walking at about 10:30 last night and saw the attached flying object that made no noise","Ann Arbor","MI, US",""
"121861","2022-04-22","2022-01-08","Re-upload of case ifxomvq9. A video was submitted but isn't working.","Newport","NC, US",""
"121860","2022-04-22","2022-04-14","When I had first contact","","VT, US",""
"121859","2022-04-22","2022-01-08","Re-upload of case iFXOMVQ9. A video was submitted but isn't working.","Newport","NC, US",""
"121858","2022-04-22","2022-04-21","Linear line of lights travelled acros the sky all together","Markdale","ON, CA",""
"121857","2022-04-22","2014-02-04","anal probe at home","","GA, US",""
"121855","2022-04-22","2022-04-19","Bright","Sangudo","AB, CA",""
"121854","2022-04-22","1970-00-00","Signalman Petty Officer Third Class on USS King DLG-10","sea of japan","JP",""
"121853","2022-04-22","2022-04-21","Linear formation of lights, change speed and direction, hen fade away.","Alger","MI, US",""
"121852","2022-04-22","2022-04-21","saw a line of lights travel across the sky. It was unlike anything I have ever seen before","south euclid","OH, US",""
"121851","2022-04-22","2022-04-21","voir la vidéo","Bressuire","FR",""
"121850","2022-04-22","2022-04-21","Lights in the woods","Fenton","MI, US",""
"121849","2022-04-22","2022-04-21","Small wispy cloud followed at same speed by light","Brighton","GB",""
"121848","2022-04-22","","Air Force Veteran Saw dozens of UFO at Nuclear Site with several Airman (never reported or documented officially)","Great Falls","MT, US",""
"121847","2022-04-22","2022-04-21","Very large cylinder with rounded ends grey/silver in color","East Concord","NY, US",""
"121846","2022-04-22","2022-04-21","Rope light - disappeared shortly after directly overhead","Port Clinton","OH, US",""
