"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"121939","2022-04-27","1999-06-14","A bright light in the sky.","Scranton","PA, US",""
"121938","2022-04-27","2020-06-05","Beams of light between 6 and 10 emitted in the sky above our home they took a straight line path from the West to the Southwest direction in a line.","Warrenton","MO, US",""
"121937","2022-04-27","2022-04-26","Second time in my house alien photo","","GB",""
"121936","2022-04-27","2022-04-21","Very long pale green rectangle, high up, moving from West towards slight Southeast, mostly East. Vanished slowly while maintaining course and speed.","Westminster","SC, US",""
"121935","2022-04-27","","Green light in the sky, that communicated with me then disappeared","Overland park","KS, US",""
"121934","2022-04-27","","En roulant je perçois trois choses lumineuses immobiles dans le ciel. La couleur est orange","Villeneuve","FR",""
"121933","2022-04-27","2021-04-20","Abduction - Multiple Probings","","PA, US",""
"121930","2022-04-27","2022-04-23","Large white triangular craft passed overhead in orbit","Streetsboro","OH, US",""
"121929","2022-04-27","2022-04-27","Thought it was a bright star until I drove under it.","Ward","AR, US",""
"121928","2022-04-27","2022-03-31","Saw an anomalous amber colored light that flew directly over my car","Littleton","CO, US",""
"121927","2022-04-27","2014-07-02","objet en forme de V","Tourcoing","FR",""
"121926","2022-04-27","2022-04-26","Orb/light in backyard","Fenton","MI, US",""
"121925","2022-04-27","2022-04-26","I was photographing a rainbow when this object appeared inside the bow.","Chevy Chase","MD, US",""
"121924","2022-04-26","2022-04-26","at 9:18EST tonight saw 2 ufo's","Lincolnton","NC, US",""
"121923","2022-04-26","2021-08-19","Ufos flying out of and towards the sun","North York","ON, CA",""
"121921","2022-04-26","2022-04-25","Witnessed star like object make erratic moves, before moving off rapidly.","Cedar Bluff","VA, US",""
"121920","2022-04-26","2022-04-20","Moving light","Towson","MD, US",""
"121919","2022-04-26","2022-04-25","Fly over","Cape Coral","FL, US",""
"121918","2022-04-26","2022-04-15","ligne étrange , avec des fenêtres","Schoenau","FR",""
"121917","2022-04-25","2022-04-22","I went outside to look at the night sky around 8. Then saw the object (lights) with a light beam going to the ground.","Mesa","AZ, US",""
