"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"120751","2022-02-08","2022-02-08","Object","Moraga","CA, US",""
"120750","2022-02-08","2022-02-01","Something I thought was a star flashed twice and never reappeared.","Phoenix","AZ, US",""
"120749","2022-02-08","2022-02-08","Bright white waning gibbous Moon like object , 8 times the size of Venus, with a Shadow on the side.","rekassim","IL",""
"120748","2022-02-08","2022-02-01","one round, other triangle","central point","OR, US",""
"120747","2022-02-08","2022-02-01","This has been happening since the end of july 2021 please just come or call. Its alot of information","Bellevue","NE, US",""
"120746","2022-02-08","","","Clinton","MO, US",""
"120745","2022-02-07","2020-08-22","White dot that dropped 2 more dots, one red one white.","Olathe","KS, US",""
"120744","2022-02-07","2022-02-06","Several flickering lights visible from 1am-4am","Joplin","MO, US",""
"120743","2022-02-07","2022-02-07","Extremely Fast moving sphere traveling horizontally.","Elburn","IL, US",""
"120742","2022-02-07","2015-06-24","Went right over our heads .","Chickamauga","GA, US",""
"120741","2022-02-07","2022-02-07","Reflective or lighted object rotating in the sky. Object slowly moved while still rotating and hovered before moving","Orange City","FL, US",""
"120740","2022-02-07","2008-06-02","ufo craft below the crest of the falls","Niagara falls","ON, CA",""
"120739","2022-02-07","2022-01-15","Two diamond UAPs observed over Phoenix Jan 15 2022","Phoenix","AZ, US",""
"120738","2022-02-07","2022-02-06","saw a large number of objects seen over the mountain","Sayre","PA, US",""
"120737","2022-02-07","2021-09-15","object slowly moved through sky circling WPAFB and surrounding houses","Fairborn","OH, US",""
"120736","2022-02-07","2021-09-30","Cloud shadow at dusk","Sulphur","LA, US",""
"120735","2022-02-07","2017-03-23","Black Triangular UFO with red, green & purple lights. 2 humanoid grey-like alien beings inside craft","Bedworth","GB",""
"120734","2022-02-07","2022-01-26","Light hovering over oil wells then moved slowly away","Moorestown","MI, US",""
"120733","2022-02-07","2019-09-20","Grey disk blue mist travelling at tree top level along behind line of four cars .","Brisbane","AU",""
"120732","2022-02-07","2021-06-04","UFO Sighting in Morongo Valley","Morongo Valley","CA, US",""
