"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"120729","2022-02-07","2022-02-03","Transparent Horseshoe Shaped Craft with 3 Bright White Lights Across Middle","Donald","OR, US",""
"120728","2022-02-07","2022-02-06","Test of upload to mufon site.","Wtf","CU",""
"120727","2022-02-06","2022-01-22","It hovered over our house with a brown cloud directly on top of our house. It also shot a large beam of light down on the ground and several small b.","Queen Creek","AZ, US",""
"120726","2022-02-06","2022-01-31","Saw spiral light in the west, spiraling clockwise, took picture & video","Goodhue","MN, US",""
"120725","2022-02-06","2021-09-15","Moving cylinder of lights regenerating and dissolving back into each other as the beam/cylinder itself moved straight ahead.","Beecher","IL, US",""
"120724","2022-02-06","2022-02-06","UFO appears then hovers before disappearing","Pine Bluff","AR, US",""
"120723","2022-02-06","1971-06-01","Cylinder made supersonic approach, then instantaneous change of direction and sped away.","Lima","OH, US",""
"120722","2022-02-06","2021-08-08","The biggest ufo this needs us government  action","Washington","WA, US",""
"120721","2022-02-06","2022-02-06","Strange glowing object on Map","Roanoke","VA, US",""
"120720","2022-02-06","2022-02-05","Huge triangle flew over my condo","Helena","MT, US",""
"120719","2022-02-06","2021-10-29","petit object vue sur une photo prise lorsquil on entendu un avion de type militaire","wapoos sibi","QC, CA",""
"120718","2022-02-06","2021-11-18","The very bright round orb like light hovered and seemed to interact with another  of the same","Marion","NC, US",""
"120717","2022-02-06","2022-02-05","연속으로 두번 촬영했는데, 하늘에 없던 물체가 나타났습니다.","대전","KR",""
"120716","2022-02-06","2005-03-02","creepy disc looked at me and dad","austin","TX, US",""
"120715","2022-02-06","1973-07-14","Gold Craft witnessed Close Encounter","Lakewood","NJ, US",""
"120714","2022-02-05","2022-01-26","a set of four bright orange orbs or circles in formation followed by 5 more all identical nothing in sky (just after sunset) normally in that direc.","Salem","OR, US",""
"120713","2022-02-05","2019-07-19","Pulsating Orbs After Thunderstorm","Clinton Township","MI, US",""
"120712","2022-02-05","2022-02-05","Objects were hovering but they would move in an unconventional manne","Winston-Salem","NC, US",""
"120711","2022-02-05","2021-08-25","Object comes in from the left and shoots upwards (sideways)","Roscommon","IE",""
"120710","2022-02-05","2022-02-05","grey moving very fast with streaks adjacent to object","boring","OR, US",""
