"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"120855","2022-02-15","2022-02-15","Hovering bright spot in a perfect blue sky. Stationary bright object slowly moving apparently without a precise direction","Lisbon","PT",""
"120854","2022-02-15","2022-02-14","Saw light hovering low to the ground then increased elevation fast then moved northeast and disappeared","Virginia Beach","VA, US",""
"120853","2022-02-15","2022-02-12","See detailed description","Portland","ME, US",""
"120852","2022-02-15","2022-02-14","Noticed white shape in sky the con trails of planes drew my attention to the object  the planes were heading south changed direction to avoid object p","Kapaa","HI, US",""
"120851","2022-02-14","2022-02-14","Jordynn witnessed bright light above the tree top, moved around/flashed, changed structure and traveled over house, and repeated 4 times","Hartsville","TN, US",""
"120850","2022-02-14","2022-02-04","Small Triangle shape craft moving in a straight line then zooming off.","Queen creek","AZ, US",""
"120849","2022-02-14","2022-01-11","Waiting for a ride from a Medical test. I Spotted several objects around the sun thru a tinted window they where zippy around each other","Peoria","IL, US",""
"120848","2022-02-14","2022-01-28","Flickering type of light bar, very large and bright","Huntington beach","CA, US",""
"120847","2022-02-14","2022-02-09","2nd observer took iPhone photo of sunset.","Wichita","KS, US",""
"120846","2022-02-14","2022-02-12","explosion of strobe like lights in cloud","Dell Rapids","SD, US",""
"120845","2022-02-14","2021-06-13","I was looking out over the cow pasture behind my house and saw a a floating orb. I have a video of it I can email to you.","Marble Hill","MO, US",""
"120844","2022-02-14","2022-02-10","UFO discovered after taking pics of clouds","League City","TX, US",""
"120843","2022-02-14","2017-03-15","Hovered, turned to follow, last saw ball of light shoot away","shreveport","LA, US",""
"120842","2022-02-14","2021-09-06","Several different Crafts together in formation","Willis","TX, US",""
"120841","2022-02-14","2022-02-10","hovering for a while","south sheilds","GB",""
"120840","2022-02-14","2022-02-13","Spotted and recorded a vessel in the sky flying very low it appeared invisible","Willis","TX, US",""
"120839","2022-02-14","2021-12-11","Observed following flight from Atlanta to Cincinnati","Nashville","TN, US",""
"120838","2022-02-14","2022-02-10","Satellite like object suddenly changing direction.","Catskill","NY, US",""
"120837","2022-02-14","2017-12-22","Video and several photos of some craft with plume tail","Salem","OR, US",""
"120836","2022-02-13","2022-01-26","Object appears to spin around like a gyro.","Humptulips","WA, US",""
