"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"120535","2022-01-26","2022-01-24","A large very reflective orange object passed over my house.","Adelaide. South Australia","AU",""
"120534","2022-01-26","2021-09-05","I saw a light travelling behind a plane so took some photos","Ebbw vale","GB",""
"120533","2022-01-25","2022-01-23","I was taking pictures of the morning sun dogs - beautiful orange / red coloured. I did not notice that I caught something in one picture.","Winnipeg","MB, CA",""
"120532","2022-01-25","2022-01-25","V shaped craft","marshall","WI, US",""
"120531","2022-01-25","2022-01-25","Three glowing lights appeared in the sky above me in the city of Tawas","Tawas","MI, US",""
"120530","2022-01-25","2022-01-25","Looks like a star hovering and flashing moving around slowly but still in the same vicinity. This is the second time I have seen this","Pontiac","IL, US",""
"120529","2022-01-25","1974-07-01","Black Chevron Shaped Craft Silently Moving Above Tree Line","TERRE HAUTE","IN, US",""
"120528","2022-01-25","2022-01-16","Airplane passing, lights appear, then light on left went over center light and that then became center light of 3 lights","Liverpool","GB",""
"120527","2022-01-25","1969-11-07","It was round, like a saucer, maybe 25/30 feet circumferance, green or green & white lights","Emmons","MN, US",""
"120526","2022-01-25","2021-03-12","Red lights in sky","Chesapeake","VA, US",""
"120525","2022-01-25","2022-01-22","Moving/Disappearing Star-Like Triangle UFO","Peterhead","GB",""
"120524","2022-01-25","2022-01-24","triangular illuminated object","zellwood","FL, US",""
"120522","2022-01-25","2021-10-08","Very large ufo flew over my condo","Naples","FL, US",""
"120521","2022-01-25","2022-01-25","All seen while driving","Colorado","CO, US",""
"120520","2022-01-25","2021-07-22","A low fast flying object with","Shoreline","WA, US",""
"120519","2022-01-25","2021-05-19","Two Equilateral Triangle, Cloud-like objects in bright daylight over Wind Power Electricity Farm","Portslade","GB",""
"120518","2022-01-25","2022-01-01","taken from bedroom","","PA, US",""
"120517","2022-01-25","2022-01-19","Saucer shape with dome, taken on Live Photo","Waltham","MA, US",""
"120516","2022-01-25","2022-01-24","Observed multiple hovering/pathing craft - no noise or visible means of propulsion - pulsating/rotating lights of varying color","Los Gatos","CA, US",""
"120515","2022-01-24","2022-01-24","Blue orb hovering above the water.","Destin Fl","FL, US",""
