"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"120576","2022-01-28","2013-07-10","Moving slowly above tree tops then over boat docks on lake.","Norfork","AR, US",""
"120575","2022-01-28","2022-01-27","Lights appear suddenly as white, then immediately begin to dim to yellow, float horizontally for 3-4 seconds, then fade and disappear.","Quartzite","AZ, US",""
"120574","2022-01-28","","I'm catching this light that moves every night in my back yard off the side of my deck.","Fort Payne","AL, US",""
"120573","2022-01-28","2022-01-28","bright white light in the sky","New Port Richey","FL, US",""
"120572","2022-01-28","2022-01-25","Orange lights over Rose City","Rose City","MI, US",""
"120571","2022-01-28","2021-09-06","Meteor- like descending,  Enormous apparition-like, movement on the ground, Ascended","Lilesville","NC, US",""
"120570","2022-01-28","2014-02-06","Census Bureau HQ MOTHERSHIP HOVERING","Suitland","MD, US",""
"120569","2022-01-28","2022-01-27","Went out with my wife and dog to close up our greenhouse. As we were going down the stairs of our deck. We spotted a bright object directly above us","Tillamook","OR, US",""
"120568","2022-01-27","2022-01-27","Dancing / Glowing orb","Lawrenceville","GA, US",""
"120567","2022-01-27","2022-01-21","Fireball orbs 2 maybe 3 observed from 2nd floor hotel balcony facing Lake lake Michigan","St. Joseph, MI","MI, US",""
"120566","2022-01-27","1998-08-01","Lights silently drifting.","Pierre","SD, US",""
"120565","2022-01-27","2022-01-26","I was getting a bag out of my car at 10:30pm I was looking for shooting stars because it was a clear night. I didn't see shooting stars.","minerva","OH, US",""
"120564","2022-01-27","2022-01-17","Person with electronics device becomes transparent in line of sight with mailbox.","","CA, US",""
"120563","2022-01-27","2022-01-27","triangle with lights","lake elsinore","CA, US",""
"120562","2022-01-27","2022-01-08","A Morning Star in the Afternoon - Bright Star Light Object","Holyoke","MA, US",""
"120561","2022-01-27","2022-01-26","Pulsating Orb-Like Star","Newberg","OR, US",""
"120560","2022-01-27","2022-01-27","Co worker asked what was in the sky, we obvserved to Tic Tac like objects.","leander","TX, US",""
"120559","2022-01-27","2022-01-26","Triangular Shaped craft which seem to sometimes hover, dive, bank, ans become brighter. three bright white lights with a red blinking back light.","Hopkinsville","KY, US",""
"120558","2022-01-27","2021-08-08","Two solid object UFOs with Auras flew by, disappeared, reappeared, then the next day reappeared","Warrens","WI, US",""
"120557","2022-01-27","2022-01-26","Hundreds of small lights that look like little balls of fire flew over Henderson and las vegas lasted about 25 min","Henderson","NV, US",""
