"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"121957","2022-04-29","2022-04-23","Incredibly fast object filmed during airshow","Vidalia","GA, US",""
"121956","2022-04-29","2022-04-29","This feels like it was intentional can't explain why.","Holyoke","MA, US",""
"121955","2022-04-29","2021-11-20","Watching the ISS flyover in western night sky and I noticed a reddish-color light streak Southward from the same area of the ISS","Mohave Valley","AZ, US",""
"121954","2022-04-29","2018-12-11","I observe a metallic orb hovering above my neighborhood.","Laurel","MD, US",""
"121953","2022-04-28","2022-04-26","Video from airplane window of strange V-shaped object over Nevada","Fallon","NV, US",""
"121952","2022-04-28","2022-02-15","Tec Tac","Jackson","TN, US",""
"121951","2022-04-28","2022-04-23","Boomerang, silent, yellow light, appeared then disappeared in 15 seconds or less.","Las Vegas","NV, US",""
"121950","2022-04-28","2022-04-25","Recorded a flashing light in the sky that I've never seen before","Altoona","IA, US",""
"121949","2022-04-28","2017-04-29","Took a picture back in 2017 and was just looking at it an I want some to look at it an tell me there opinion the photo Has NOT been photo shopped .","Scarbrough","ME, US",""
"121948","2022-04-28","2022-04-27","Massive symmetrical alien object","Vernal","UT, US",""
"121947","2022-04-28","1969-08-24","UFO sighted in Irishtown, PA","New Oxford","PA, US",""
"121945","2022-04-28","1987-07-18","Ufo  sight","Hampton","VA, US",""
"121944","2022-04-28","2022-04-22","See detailed description","Lancaster","SC, US",""
"121943","2022-04-28","2020-10-14","Abduction #1","","CA, US",""
"121942","2022-04-27","2022-04-27","Object vanished","Saucier","MS, US",""
"121941","2022-04-27","2013-01-01","Orange light moving erratically","Peck","MI, US",""
"121940","2022-04-27","2022-04-24","Flashing lights in a disc-like shape, stationary","Peck","MI, US",""
"121939","2022-04-27","1999-06-14","A bright light in the sky.","Scranton","PA, US",""
"121938","2022-04-27","2020-06-05","Beams of light between 6 and 10 emitted in the sky above our home they took a straight line path from the West to the Southwest direction in a line.","Warrenton","MO, US",""
"121937","2022-04-27","2022-04-26","Second time in my house alien photo","","GB",""
