"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"120592","2022-01-29","2022-01-28","Many triangular crafts around normal stars","Yelm","WA, US",""
"120591","2022-01-29","2022-01-24","A magnetic anomaly has occurred on node: 40 Mag:30.00, Compass:288.16, Accel:1.01, Time:2022-1-24,11:49:48 GMT","Kansas City","MO, US",""
"120590","2022-01-29","2020-09-25","Three people saw a strange light in the sky","Mesa","AZ, US",""
"120589","2022-01-29","2022-01-28","Couple sees huge orbs I bring in the night sky while hiking on a fire Trail","Castro Valley","CA, US",""
"120588","2022-01-29","2022-01-29","Bright light felw over head, then dimmed and disappeared before leaving range of sight","Breda","NL",""
"120587","2022-01-29","2022-01-27","I show 2 triangles shape with green lights","St Louis","MO, US",""
"120586","2022-01-29","2022-01-27","A giant rectangle of blinking lights.","Barney","GA, US",""
"120585","2022-01-29","2012-07-04","Saw over campsite","Bradford","PA, US",""
"120584","2022-01-29","2022-01-20","My 10 year old boy and his friend, Chase, witnessed multiple bogies entering the atmosphere at super sonic speed (sonic boom) then hovering 1 landing","Hillsboro","OR, US",""
"120583","2022-01-29","2021-12-30","Watches everyone and has always and stuck here here","Park Hills","MO, US",""
"120582","2022-01-29","2021-06-16","It was a cloud with blinking lights but it was self-propelled like it was alive","North Charleston","SC, US",""
"120581","2022-01-29","2020-12-07","I have video","Durham","CT, US",""
"120580","2022-01-29","2022-01-28","On porch, circular glow not particularly bright hovered and dropped out of sight. Too bizarre:submitted hoping other witnesses did the same.","Grants Pass","OR, US",""
"120579","2022-01-28","2014-10-26","single flickering blue light became 3 (triangle) caught my attention while watching fireworks display in the distance (Nerja center)","NERJA","ES",""
"120578","2022-01-28","2022-01-28","I am an Angel on Earth and can use Magic. Not an","","FL, US",""
"120577","2022-01-28","2020-10-04","500' DISTANCE BRIGHT WHITE LIGHT PULSED COLORS","NEW BRAUNFELS","TX, US",""
"120576","2022-01-28","2013-07-10","Moving slowly above tree tops then over boat docks on lake.","Norfork","AR, US",""
"120575","2022-01-28","2022-01-27","Lights appear suddenly as white, then immediately begin to dim to yellow, float horizontally for 3-4 seconds, then fade and disappear.","Quartzite","AZ, US",""
"120574","2022-01-28","","I'm catching this light that moves every night in my back yard off the side of my deck.","Fort Payne","AL, US",""
"120573","2022-01-28","2022-01-28","bright white light in the sky","New Port Richey","FL, US",""
