"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"120349","2022-01-15","2020-03-14","Saw very strange lights at gand Canyon, shanging formation and merging while moving weird.","Grand Canyon Village","AZ, US",""
"120348","2022-01-15","2021-06-17","LIGHT ORBS TRAVELLING A SPEEDS MORE THAN Mach 10+","Karnataka","IN",""
"120347","2022-01-15","2010-05-10","White lightbulb shaped object","Churchville","VA, US",""
"120346","2022-01-15","2022-01-14","Four objects observed over Poole, Dorset","Poole, Dorset","GB",""
"120345","2022-01-15","2021-12-22","Seen 3 orbs moving slowly all together. Then 2 more","Fayette","OH, US","20211213183434003001001.mp4"
"120344","2022-01-15","2021-04-18","ginormous balls/orbs/fire balls of light","Kingston","MA, US","trim.8A234A2EF1E7462980DF16E00F21160E.MOV"
"120343","2022-01-14","2021-07-24","Lights in sky Savanna GA","Phoenix","AZ, US","F87875FBC4CB41E99608E735A8AC8382.png"
"120342","2022-01-14","2022-01-15","A very strange object was sited this morning.","Adelaide. South Australia.","AU","IMG7708.JPG"
"120341","2022-01-14","2022-01-15","Saw a Tic-Tac shaped object pass over my house.","Adelaide. South Australia.","AU","IMG7727.JPGIMG7727.JPG"
"120340","2022-01-14","2021-01-13","Dark triangular object moved slowly overhead then disappeared","Rydal","GA, US","Screenshot20220110233934Chrome.jpgScreenshot20220110233945Chrome.jpg"
"120339","2022-01-14","2022-01-14","1 object appeared, moving in a curve. 2nd appeared behind 1st, following. Both then disappeared","Townville","SC, US",""
"120338","2022-01-14","1994-08-02","Object in sky bursts info flames and moves at high speed.","Gander","NL, CA",""
"120336","2022-01-14","2021-09-18","White perfectly round cloudy light bobbing around","Wadsworth","IL, US","20210918202321.jpg20210918202219.jpg"
"120335","2022-01-14","2021-10-03","went through pics taken of the skydiving team at Balloon Fiesta 2021 and found a triangular object","Albuquerque","NM, US","Mufon1.jpgMufon2.jpgMufon3.jpgMufon4.jpgMufon5.jpgMufon6.jpgMufon7.jpgMufon8.jpgpossibleUFO.jpg"
"120334","2022-01-14","2020-10-24","I saw the object it only stands and wasn’t moving in any way","Ingolstadt","DE","76B553E8A3A74467A7E99071B249D731.jpeg"
"120333","2022-01-14","2022-01-04","I observed in the sky an aluminum coloured object, very large about half the size of a commercial airliner.","warrington","GB",""
"120332","2022-01-14","2022-01-11","5 individual flashing lights green and orange hovering then moving straight path","Arnold","MO, US",""
"120331","2022-01-14","2022-01-09","{slow moving, blinking white light, on glide path} - {from video, djs}","Macomb","MI, US","trim.3F8EF88B7D30420399F4552241A5F842.MOV"
"120330","2022-01-14","2022-01-13","Silvery white sphere hovering","kirkby in ashfield","GB",""
"120329","2022-01-14","2018-09-14","Saw a massive black sphere following behind an A380 commercial airliner","Perth","AU",""
