"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"120687","2022-02-04","2022-01-31","Brief sighting of unusual-looking object","London, Kentucky","KY, US",""
"120686","2022-02-04","2022-02-04","Golden light flashing","Shoreline","WA, US",""
"120685","2022-02-04","2022-02-04","Was looking for an address of a TV show location and noticed a saucer shaped item over some hills in the background","Eagle Point","OR, US",""
"120684","2022-02-04","2022-02-03","Round ball like bright lights","Ventura","CA, US",""
"120682","2022-02-03","2022-01-28","Looked up lights to solid to be plane observed filmed took stills.","TACOMA","WA, US",""
"120681","2022-02-03","2022-01-29","I first witnessed this in August of last year.  All the files i sent were from the past week.","Ballston spa","NY, US",""
"120680","2022-02-03","2022-01-27","Cigar shaped object flying","North Grosvenordale","CT, US",""
"120678","2022-02-03","2022-01-31","Many different flashing lights meet, merge, and ejects others.","Bonita Springs","FL, US",""
"120677","2022-02-03","2022-02-02","Observed through telescope. Portion of curved edge on a stationary disc shaped object surrounded by energy waves in the form of mist.","North Port","FL, US",""
"120676","2022-02-03","2022-01-19","Row of  lights, above the clowds","Norwich norfolk/England","VG",""
"120675","2022-02-03","2022-01-27","Coming home on N. Nev. HWY 225 getting close to Owyhee, Nv & I seen this silver shape circle on top of hill by Skull Creek Rd. Caught on dashcam twice","Owyhee","NV, US",""
"120674","2022-02-02","2021-09-15","Black triange with white light on each corner. Straight line flight. Low engine hum.","Esk","AU",""
"120673","2022-02-02","2022-02-02","UFO sighting","Palm Coast","FL, US",""
"120672","2022-02-02","2022-01-22","un objet jaune se déplaçait dans le ciel dans tous les sens","Nice","FR",""
"120671","2022-02-02","2022-01-31","UAP","Fayetteville","TN, US",""
"120670","2022-02-02","2022-02-01","I ws in my car with my wife and friend we saw a light in the shape of a perfect circle then it changed into 3 lights then into a triangle","Lexington","NC, US",""
"120669","2022-02-02","2022-02-02","Travelling faster than anything I ever noticed in sky.","Mt. Cobb","PA, US",""
"120668","2022-02-02","2022-02-01","Witnessed 2 objects in the sky with multiple lights multiple lights unexplained both objects were quiet with bright yellowish lights went in different","Keene","NH, US",""
"120667","2022-02-02","2022-02-01","Small orbs of light flying over apartment building","cincinnati","OH, US",""
"120666","2022-02-02","2022-02-01","Roughly 8-10 static lights in the shape of a half circle bottom and square centered top slowly floated down","Worcester","MA, US",""
