"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"120661","2022-02-01","2022-02-01","Disc shaped object with circular lights in a circular shape hovered over house and flew to the right","Roswell","GA, US",""
"120660","2022-02-01","2022-01-29","The object flashed into view and then made very fast and unusual manouevers, even stopping a couple times before flying off into the distance.","San Pedro Sula","HN",""
"120659","2022-02-01","2020-05-05","taking pictures of practice flight formations attached photo was taken but I missed the planes and shot image above formation","Alvin","TX, US",""
"120658","2022-02-01","2022-01-31","Cigar shaped object appeared to observe Falcon 9 rocket in flight.","North Port","FL, US",""
"120657","2022-02-01","2021-01-21","I have a live entity in my presence","","OH, US",""
"120656","2022-02-01","2022-01-31","Object caught up with and flew parallel with SpaceX falcon 9 rocket taht launched from KSC 2 minutes earlier","Melbourne","FL, US",""
"120655","2022-02-01","2022-01-31","Followed parallel path of SpaceX rocket","Melbourne","FL, US",""
"120654","2022-02-01","2022-01-31","White sphere shaped light","Choctaw","OK, US",""
"120653","2022-02-01","2022-01-24","A humanoid or a changing object.","Tucson","AZ, US",""
"120652","2022-02-01","2021-12-14","vaisseau avec des lumières près d'un nuage","Ile de la réunion","FR",""
"120651","2022-02-01","2022-01-25","A light gained brightness and disappeared","Louisville","KY, US",""
"120650","2022-02-01","2022-01-31","Bright White Light in what looked like a a cloud.","Centerville","OH, US",""
"120649","2022-02-01","2022-01-31","My wife and I saw a light with a vortex like misty swirl around it moving from north to south.","Purcell","OK, US",""
"120648","2022-02-01","2022-01-23","Beautiful clear sky","Grants pass","OR, US",""
"120647","2022-02-01","1968-06-15","Silver disc shape, with windows and lights flashing","Grand junction","CO, US",""
"120646","2022-01-31","2022-01-31","Redish lights.","Yukon","OK, US",""
"120645","2022-01-31","2022-01-31","Spiral, like a galaxy.","Liberty","MO, US",""
"120644","2022-01-31","2022-01-31","Descending spiral light","Clarksville","TN, US",""
"120643","2022-01-31","2022-01-31","","Concord","AR, US",""
"120642","2022-01-31","2021-12-24","3 entities in my bedroom","","WA, US",""
