"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"120506","2022-01-24","2022-01-24","human voice detection but  monatone","concho","AZ, US",""
"120505","2022-01-24","2022-01-06","Went out side and there it was.I always look to the sky","OR AKIVA","IL",""
"120504","2022-01-24","2021-09-07","Large Black Triangle","Wausau","WI, US",""
"120503","2022-01-24","2022-01-23","Looked up saw a lighted boomerang shape object","Washougal","WA, US",""
"120502","2022-01-24","","Some strange  shapes from the light dots when zoom in","Houston","TX, US",""
"120501","2022-01-23","2012-06-07","UFO spotted that looked just like all the other stars in the sky.","Haverstraw","NY, US",""
"120500","2022-01-23","2022-01-23","Appeared and disappeared in less than a minute with no flashing","Memphis","TN, US",""
"120499","2022-01-23","2022-01-23","Round highly metallic object observed for 20 seconds around 6-8000 feet in sky and then totally disappeared. Not dissolved, not moved out of sight","Blue Diamond","NV, US",""
"120498","2022-01-23","1975-07-16","Object flew by slowly then took off 3 times and each time came by at a lower altitude until it hovered and i could see through port holes 3 figures","Niagara Falls","ON, CA",""
"120497","2022-01-23","2022-01-23","Long cylinderical","Goodyear","AZ, US",""
"120496","2022-01-23","2022-01-23","Sphere with follower","Magyarkeszi","HU",""
"120495","2022-01-23","2022-01-08","Video of lights off of the I10 freeway","Blythe","AZ, US",""
"120494","2022-01-23","2021-11-09","Large bright stationary light.","Morris","AL, US",""
"120493","2022-01-23","2013-08-17","It was like seeing a picture of the sun coming at us.","Rochester","NY, US",""
"120492","2022-01-23","2022-01-07","Moving green orb as sky parts","Crestline","OH, US",""
"120491","2022-01-23","2022-01-21","Lowell, AZ possible sighting over Bisbee Mine","Lowell","AZ, US",""
"120490","2022-01-23","2022-01-23","Observed two orbs on my Ring Camera","Beaworthy","GB",""
"120489","2022-01-23","2021-06-16","Glowing orb hovering on front porch caught by security camera","Boyertown","PA, US",""
"120488","2022-01-22","2019-01-20","These only have showed up on camera.  I can't see them when taking photos","","FL, US",""
"120487","2022-01-22","2021-12-07","See video","Kenilworth","NJ, US",""
