"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"120760","2022-02-08","2022-02-08","Brightly lighted triangular craft hovering above house","Omaha","NE, US",""
"120759","2022-02-08","1982-07-10","Light moving too fast to be man made","Church Hill","TN, US",""
"120758","2022-02-08","","","","US",""
"120757","2022-02-08","2013-01-03","Unidentified light 'teleports' around night sky culminating in 8 flashes of object in two parallel lines.","silver city","NM, US",""
"120756","2022-02-08","2022-02-07","Saw an orange glow that I thought was the moon and then moving, then an orange orb followed by 3 - 4 others.","Wilson","WY, US",""
"120755","2022-02-08","2022-01-30","Black shape changing tic tac","Chesterfield","GB",""
"120754","2022-02-08","2022-01-30","Massive  hovering circle with variation dark red and light red color","Boulder","CO, US",""
"120753","2022-02-08","2013-06-20","BBALL ORB FLU OVER GOLD SL2","South Bend","IN, US",""
"120752","2022-02-08","2022-02-05","Really Loud Fly-Over Sound","Kittitas","WA, US",""
"120751","2022-02-08","2022-02-08","Object","Moraga","CA, US",""
"120750","2022-02-08","2022-02-01","Something I thought was a star flashed twice and never reappeared.","Phoenix","AZ, US",""
"120749","2022-02-08","2022-02-08","Bright white waning gibbous Moon like object , 8 times the size of Venus, with a Shadow on the side.","rekassim","IL",""
"120748","2022-02-08","1972-02-01","one round, other triangle","central point","OR, US",""
"120747","2022-02-08","2022-02-01","This has been happening since the end of july 2021 please just come or call. Its alot of information","Bellevue","NE, US",""
"120746","2022-02-08","","","Clinton","MO, US",""
"120745","2022-02-07","2020-08-22","White dot that dropped 2 more dots, one red one white.","Olathe","KS, US",""
"120744","2022-02-07","2022-02-06","Several flickering lights visible from 1am-4am","Joplin","MO, US",""
"120743","2022-02-07","2022-02-07","Extremely Fast moving sphere traveling horizontally.","Elburn","IL, US",""
"120742","2022-02-07","2015-06-24","Went right over our heads .","Chickamauga","GA, US",""
"120741","2022-02-07","2022-02-07","Reflective or lighted object rotating in the sky. Object slowly moved while still rotating and hovered before moving","Orange City","FL, US",""
