"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"121883","2022-04-23","2022-04-23","Observed at 2:15am with colored lights","Newport","NH, US",""
"121882","2022-04-23","2022-04-22","Saw something shoot off about tree level, so fast it was like seeing one of those long exposure car taillight pictures","Yelm","WA, US",""
"121881","2022-04-23","2022-04-22","Last night in tehran 21:31","Tehran","IR",""
"121880","2022-04-23","2000-04-05","Triangle shaped craft","Tyngsboro","MA, US",""
"121879","2022-04-23","2018-04-20","More Lights","Plymouth","GB",""
"121878","2022-04-23","2022-04-21","Large Drone","Berlin","NJ, US",""
"121877","2022-04-23","2021-03-05","North to South","Plymouth","GB",""
"121876","2022-04-23","2022-04-18","I got out of my car and it was right there. it hovered right in front of me  then took off. I was able yo take two pretty clear pictures with my flip","Bullhead City","AZ, US",""
"121875","2022-04-23","2022-02-28","One Big UFO","Plymouth","GB",""
"121874","2022-04-23","2022-03-14","Alot of UFO`S","Plymouth","GB",""
"121873","2022-04-23","2022-04-08","https://1drv.ms/v/s!Alx7-BnfOsl_k0RkIvh2Jfl5iGli","Omakere","NZ",""
"121872","2022-04-23","2022-04-22","Sehen Sie viele fliegende Objekte in einer geraden Linie","khorraabad","IR",""
"121871","2022-04-23","2022-01-20","Cloaked piece of plywood","Cayucos","CA, US",""
"121870","2022-04-23","2012-10-17","No visable craft of any kind","Cuero","TX, US",""
"121869","2022-04-23","1998-08-13","Goblin skittering about.","","AR, US",""
"121868","2022-04-23","","I have it on video","Vergennes","VT, US",""
"121867","2022-04-23","2022-04-21","2-3min sighting by 2ppl Very large very Long cigar shape craft with perfectly spaced white lights across like a string of pearls stretched lengthwise","Middletown","OH, US",""
"121866","2022-04-22","2022-04-22","Orange red orb flying over my neighborhood. Would disappear and reappear in another location 20-30 seconds later.","Columbus","OH, US",""
"121865","2022-04-22","2015-08-15","Cloaked Ship Fell from the sky","Naomi Island in Neebing Ontario","ON, CA",""
"121864","2022-04-22","2022-04-01","3 greys in bedroom","","PA, US",""
