"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"121111","2022-03-06","2022-03-06","A planet visible at noon?","Honolulu","HI, US",""
"121110","2022-03-06","2022-03-06","Possible Craft also possible projectile","Hopatcong","NJ, US",""
"121109","2022-03-06","2022-03-02","Captured a picture of unknown  object.","Shippensburg","PA, US",""
"121108","2022-03-06","2022-03-06","Formation of about 12 silent silver/chrome  pearlescent objects fly over suburb near Syracuse Airport.","Liverpool","NY, US",""
"121107","2022-03-06","2022-03-04","ufo on few photos","Gornje Selo","HR",""
"121106","2022-03-06","1994-05-15","Shooting star like","Blue Gap","AZ, US",""
"121105","2022-03-06","2022-03-05","saw light move treetop level red and white no sound","doraville","GA, US",""
"121104","2022-03-06","2021-08-21","Something I peeped camera about 5ft 2 in","Pittsburgh","PA, US",""
"121103","2022-03-06","2022-02-20","Hovering Light over STL airport","Hazelwood","MO, US",""
"121102","2022-03-06","2022-03-06","Fireball illuminating then going dark periodically","Hondo","TX, US",""
"121101","2022-03-06","2022-01-09","Circular illuminated white orb/craft flying from north to north-east. Both myself and partner saw (it was his first and last sighting).","Nottingham","GB",""
"121100","2022-03-06","2022-03-05","Large number of strange lights in sky","Fenton","MO, US",""
"121099","2022-03-05","2020-09-16","saw a red stationary light","Cody","WY, US",""
"121098","2022-03-05","2022-03-05","👽 like that but it was not nude it was in garmets","Henryetta","OK, US",""
"121097","2022-03-05","2022-03-05","Thought a plane at first..","Ukiak","CA, US",""
"121096","2022-03-05","2022-03-05","Red lights.","Kelowna","BC, CA",""
"121095","2022-03-05","2021-09-17","it hovered and seemed to be able to disturb electronics","bainbridge","NY, US",""
"121094","2022-03-05","2020-02-17","this was my first sighting of them. where you can clearly see orbs glowwing moving at a fast rate on the ground.","Platteville","CO, US",""
"121093","2022-03-05","2022-03-03","Memory of odd occurrence of prior night","","NH, US",""
"121092","2022-03-05","2022-03-05","White/blue orb","Vandalia","IL, US",""
