"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"120287","2022-01-12","2022-01-12","Suspicious flying object spotted in Fresno County on Jan. 12, 2022","Fresno","CA, US",""
"120286","2022-01-12","2022-01-11","Don't know if it was a satellite a star not sure looked like a triangle the three flashing lights","Buffalo","NY, US",""
"120285","2022-01-12","2015-07-01","Star child","Tehachapi","CA, US",""
"120284","2022-01-12","2022-01-11","Star like but certainly not a star","Vacaville","CA, US",""
"120283","2022-01-12","2020-00-15","Slow moving telephone pole.  Longer than a 737","Arrington","TN, US",""
"120282","2022-01-12","2022-01-08","Completely silent. No jet stream, wings, or perpellers. Looked like a piece of glass.","Newport","NC, US",""
"120281","2022-01-12","2021-05-27","Witnessed Lights Over Ocean","Myrtle Beach","SC, US",""
"120280","2022-01-12","2022-01-11","White Light Moving, Pulsing to 20x Lumens, Slowly","Seaside","CA, US",""
"120279","2022-01-12","2022-01-12","A Tic-tac shaped flew over my house.","Adelaide. South Australia.","AU",""
"120278","2022-01-12","2021-12-13","Tic tac looking object","Santa Clarita","CA, US",""
"120277","2022-01-12","2022-01-04","Family noticed the first light last week.","Monroe","NC, US",""
"120276","2022-01-12","2022-01-11","Loud crash with 2 loud bangs 3 helicopters chasing over 80 people so far witnesses","Henderson NV","NV, US",""
"120275","2022-01-12","2021-11-05","Opening portal small beings kinda going in and out images","10731 Villa st","CA, US",""
"120274","2022-01-11","2021-12-28","watch the video - light that rotated like a Wankel engine","Mustang Island","TX, US",""
"120273","2022-01-11","2022-01-03","Huge head in the center sphere object with sparkling octopus tentacles bright red","South Fork","PA, US",""
"120272","2022-01-11","2022-01-06","Looked like 2 empire state buildings ,one on top of the other. Object may have been 5 miles in the sky from surface moving south to north fading in ou","Greenville","SC, US",""
"120271","2022-01-11","2021-12-23","Bright white object","Valdosta","GA, US",""
"120270","2022-01-11","2020-07-25","Bright light appeared than took off. I did not see the object!","Sonoma","CA, US",""
"120269","2022-01-11","2022-01-11","orange pulsating cresent seen it before about year ago NW","columbus","OH, US",""
"120268","2022-01-11","","","","GB",""
