"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"120623","2022-01-31","2022-01-28","Was driving and saw huge football statium sized lights moving pretty fast","Lapeer","MI, US",""
"120622","2022-01-31","2021-12-01","Alternating green/red light that hovered and then moved different directions","The Dalles","OR, US",""
"120621","2022-01-31","2022-01-29","round ball shaped object slowly going against a 70mph wind","fife","GB",""
"120620","2022-01-31","2022-01-21","EN UNO DE MIS DIRECTOS DESDE LOS VILOS SE PUEDE APRECIAR UN OBJETO ESTACIONARIO, VER DETALLE EN VIDEO","los vilos","CL",""
"120619","2022-01-31","2021-12-26","2 strange figures","","NL",""
"120618","2022-01-31","2021-08-10","Poss. Triangle shape when you zoom in on still pic.","Springfield Twp.","NJ, US",""
"120617","2022-01-31","2022-01-30","Vertical craft seen from Fulbourne Road in Walthamstow","London","GB",""
"120616","2022-01-31","2022-01-28","Observed a fast moving light shoot over my house and disappear behind neighbouring tree line","Newcastle","AU",""
"120615","2022-01-31","2022-01-24","Vertical hazy shape like a see through plastic straw but short and lights spaced evenly I think there were 4 lights","Waynesville","MO, US",""
"120614","2022-01-30","1985-08-01","Something got into our basement when we lived at above address. Dark in color. Had red eyes.","","MA, US",""
"120613","2022-01-30","2022-01-30","I was drving to the beach","Pescadero","CA, US",""
"120612","2022-01-30","2015-03-30","Reminded me of a boat in the sky i could see structure and a bright window looking like","Courtenay","BC, CA",""
"120611","2022-01-30","2022-01-30","Noticed this object get brighter.","Pine Bluff","AR, US",""
"120610","2022-01-30","2022-01-30","orange light hovering in sky","rutland","VT, US",""
"120609","2022-01-30","2021-05-11","They are here we sow 3  plus mother ship","Isla mujeres","MX",""
"120608","2022-01-30","2022-01-18","Flying while one landed","Eckert","CO, US",""
"120607","2022-01-30","2015-08-10","7 bright red lights flashing one at a time in a row sequence, on top of a hill off of highway 84","Las Vegas","NM, US",""
"120606","2022-01-30","2007-07-24","Contact & Communication with Entity","","NV, US",""
"120605","2022-01-30","2022-01-30","Unidentified flying object over northern Sweden","Piteå","SE",""
"120604","2022-01-30","2022-01-25","Star like or orb","Hot Springs","NC, US",""
