"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"121915","2022-04-25","2022-04-04","I am being indoctrinated by aliens and I am turning them in.","","FL, US",""
"121914","2022-04-25","2017-11-18","Anonymous Sighting. I took 2 photos, the 2nd on this date I destroyed. The first I didn't get a chance to take a photo.","Coweta","OK, US",""
"121913","2022-04-25","2016-07-15","Star-like orb/star floating over the treetops towards me and fading out in front of me","Petersburg","VA, US",""
"121912","2022-04-25","2022-04-24","Ball of light/Orb","Fenton","MI, US",""
"121911","2022-04-25","2022-04-24","The entire island of Catalina shaped shifted and was filled with ufos","Catalina island","CA, US",""
"121910","2022-04-25","2022-04-23","Return of Orb from 4 weeks ago","Woodland Hills","CA, US",""
"121909","2022-04-25","","Transparent/cloaked boomerang shaped flying object 30+ feet in width. 100% silent flying between 500-1000ft at high speed heading N/NW.","Summerland Key","FL, US",""
"121908","2022-04-24","2022-04-24","Star-like Orb","Ottsville","PA, US",""
"121907","2022-04-24","2022-04-17","lights fly aroung in circle , spheres form","montevideo","UY",""
"121906","2022-04-24","2016-06-17","Starlike orb","Petersburg","VA, US",""
"121905","2022-04-24","","3 lights in sky","Hot springs","AR, US",""
"121904","2022-04-24","2022-04-11","classic disk","stockton","NJ, US",""
"121902","2022-04-24","2022-04-17","Found completely by accident.","Copley","OH, US",""
"121901","2022-04-24","2017-06-17","What I have seen here has Mest my life up big time. But it was a orb in thermal","lompoc","CA, US",""
"121900","2022-04-24","2022-04-23","2 off white lights surrounded by a grayish tic tac shape moving silently at a fast speed through the cloud cover","Cortland","NY, US",""
"121899","2022-04-24","2022-04-23","UFO had erratic behavior","Pine Bluff","AR, US",""
"121898","2022-04-24","2022-04-23","Orb in my backyard {repeatably} - {djs}","Fenton","MI, US",""
"121897","2022-04-24","2022-04-22","Bright pinpoint of blue light (equivalent to a daytime star) travelling from North to South at speed, at height preceded by a large ball of mist.","Watford","GB",""
"121896","2022-04-24","2022-04-20","un objet s'est écrasé dans un champ","Cormont","FR",""
"121895","2022-04-24","2022-04-21","objet dans le ciel","Marne la Vallée","FR",""
