"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"121038","2022-02-28","2022-02-19","Viewed fire balls the they changed into clearish changing objects.","Big river ca","CA, US",""
"121037","2022-02-28","2022-02-27","uap ufo orb was be chased by 2 navy jets","playa  del  rey","CA, US",""
"121036","2022-02-28","2022-02-28","Went to let my dogs outside to potty and looked up and there it was super bright like the star of Bethlehem is always described and I see them a LOT","Fortuna","CA, US",""
"121035","2022-02-28","2022-02-27","objet long avecune lumière avant et une sur le côté","Veigy foncenex","FR",""
"121034","2022-02-28","2022-02-19","4 lumières statiques d’un  blanc extrêmement intense","Haute vienne","FR",""
"121033","2022-02-28","2022-02-26","Donut shaped object","Cincinnati","OH, US",""
"121032","2022-02-28","2022-02-26","Glowing amber object, moving erratic then vanished","Fort Collins","CO, US",""
"121031","2022-02-28","2022-02-28","Very bright, Just hovering in the sky","Brooklyn","NY, US",""
"121030","2022-02-28","2021-11-17","SAW LIGHT CHANGING COLOR AND DIRECTION UNLIKE ANYTHING MANMADE","brownsmills","NJ, US",""
"121029","2022-02-28","2022-02-27","Not sure how to describe it random flashes in the clouds","Tempe","AZ, US",""
"121028","2022-02-28","2022-02-18","Two glowing orbs of yellowish-orange light","New Delhi","IN",""
"121027","2022-02-28","2022-02-27","5 white lights in a V formation. Appeared to be one vehicle.","Terre Haute","IN, US",""
"121026","2022-02-27","2022-02-22","Stationery diamond shaped cluster of very bright lights","Franklin","TN, US",""
"121025","2022-02-27","2022-02-27","Plasma like ufo","Dania beach","FL, US",""
"121024","2022-02-27","2022-02-24","Going straight up spinning","Fowler","CA, US",""
"121023","2022-02-27","2021-07-04","See detailed description {oval, dull, grey object on straight line path in video} - {djs}","Traverse City","MI, US",""
"121022","2022-02-27","2022-02-26","2 circular rings of light flying parallel to I-75 south in No. Ky","Ft. Mitchell","KY, US",""
"121021","2022-02-27","2022-02-26","Strange light in the sky","Swansea","GB",""
"121020","2022-02-27","1979-08-15","Ball of light over head","West Newfield","ME, US",""
"121019","2022-02-27","2022-02-25","Saw a white round like object flying north","Apopka","FL, US",""
