"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"120695","2022-02-04","2018-07-19","Lights shining in my windows from the outside, came inside.","Willard","MO, US",""
"120694","2022-02-04","2022-02-01","A row of five evenly spaced oval shaped lights which just hovered for over 25 minutes and did not move","Jupiter","FL, US",""
"120693","2022-02-04","2022-02-04","Disc or tube ufo v slowly moved across the sky","London","GB",""
"120692","2022-02-04","2022-01-28","Stationary star like lights, moved away slowly to NE","South Cave","GB",""
"120691","2022-02-04","2022-01-31","Tic tac over Palm Beach","Palm.beach gardens","FL, US",""
"120690","2022-02-04","2021-09-14","Dark blob object drifted overhead","Parker","CO, US",""
"120689","2022-02-04","2022-02-04","UAP REVISITED","Clearwater","FL, US",""
"120688","2022-02-04","2022-01-25","Bright light jumping/warping","Tuscola","TX, US",""
"120687","2022-02-04","2022-01-31","Brief sighting of unusual-looking object","London, Kentucky","KY, US",""
"120686","2022-02-04","2022-02-04","Golden light flashing","Shoreline","WA, US",""
"120685","2022-02-04","2022-02-04","Was looking for an address of a TV show location and noticed a saucer shaped item over some hills in the background","Eagle Point","OR, US",""
"120684","2022-02-04","2022-02-03","Round ball like bright lights","Ventura","CA, US",""
"120682","2022-02-03","2022-01-28","Looked up lights to solid to be plane observed filmed took stills.","TACOMA","WA, US",""
"120681","2022-02-03","2022-01-29","I first witnessed this in August of last year.  All the files i sent were from the past week.","Ballston spa","NY, US",""
"120680","2022-02-03","2022-01-27","Cigar shaped object flying","North Grosvenordale","CT, US",""
"120678","2022-02-03","2022-01-31","Many different flashing lights meet, merge, and ejects others.","Bonita Springs","FL, US",""
"120677","2022-02-03","2022-02-02","Observed through telescope. Portion of curved edge on a stationary disc shaped object surrounded by energy waves in the form of mist.","North Port","FL, US",""
"120676","2022-02-03","2022-01-19","Row of  lights, above the clowds","Norwich norfolk/England","VG",""
"120675","2022-02-03","2022-01-27","Coming home on N. Nev. HWY 225 getting close to Owyhee, Nv & I seen this silver shape circle on top of hill by Skull Creek Rd. Caught on dashcam twice","Owyhee","NV, US",""
"120674","2022-02-02","2021-09-15","Black triange with white light on each corner. Straight line flight. Low engine hum.","Esk","AU",""
