"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"120615","2022-01-31","2022-01-24","Vertical hazy shape like a see through plastic straw but short and lights spaced evenly I think there were 4 lights","Waynesville","MO, US",""
"120614","2022-01-30","1985-08-01","Something got into our basement when we lived at above address. Dark in color. Had red eyes.","","MA, US",""
"120613","2022-01-30","2022-01-30","I was drving to the beach","Pescadero","CA, US",""
"120612","2022-01-30","2015-03-30","Reminded me of a boat in the sky i could see structure and a bright window looking like","Courtenay","BC, CA",""
"120611","2022-01-30","2022-01-30","Noticed this object get brighter.","Pine Bluff","AR, US",""
"120610","2022-01-30","2022-01-30","orange light hovering in sky","rutland","VT, US",""
"120609","2022-01-30","2021-05-11","They are here we sow 3  plus mother ship","Isla mujeres","MX",""
"120608","2022-01-30","2022-01-18","Flying while one landed","Eckert","CO, US",""
"120607","2022-01-30","2015-08-10","7 bright red lights flashing one at a time in a row sequence, on top of a hill off of highway 84","Las Vegas","NM, US",""
"120606","2022-01-30","2007-07-24","Contact & Communication with Entity","","NC, US",""
"120605","2022-01-30","2022-01-30","Unidentified flying object over northern Sweden","Piteå","SE",""
"120604","2022-01-30","2022-01-25","Star like or orb","Hot Springs","NC, US",""
"120603","2022-01-30","2022-01-22","Possible sightings","","NY, US",""
"120602","2022-01-30","2022-01-30","Lizard like, large eyes, long tounge, sandy grey in color","Kanosh","UT, US",""
"120601","2022-01-30","2022-01-29","Pulsating ball with. Cylinder Det inside","107 at Windy Hill Road","SC, US",""
"120600","2022-01-30","2022-01-30","Glowing orb that moved in all directions quickly then became idle and pulsed.","Urich","MO, US",""
"120599","2022-01-30","2022-01-29","Bright multicolored shape shifting light second night in a row out here we’ve seen it","Dayti.","NV, US",""
"120598","2022-01-29","2022-01-29","Star like orb avoiding air traffic moving in loops and changing direction and altitute.","cope","CO, US",""
"120597","2022-01-29","2022-01-29","Capsule shape, 3 main lights, 8 rim lights","Buffalo","NY, US",""
"120596","2022-01-29","2022-01-29","15 to 20 Orange orbs below cloud line","Phoenix","AZ, US",""
