"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"121135","2022-03-08","","Patrick Marechal Deception","Wallonia","BE",""
"121134","2022-03-08","2010-08-02","Observed dark triangle - extremely large and hovering","Levittown","PA, US",""
"121133","2022-03-08","2022-03-03","perfect round glowing ball","bolton","GB",""
"121132","2022-03-08","2022-03-08","Metallic circular object","Cedar Rapids","IA, US",""
"121131","2022-03-08","2022-03-07","Bright flashing light, with no apparent source","Baltimore","MD, US",""
"121130","2022-03-08","2005-12-13","Singular Vehicle, seems to observe directly into my widow 50-70ft away","North Grosvenordale","CT, US",""
"121129","2022-03-08","2022-03-01","Strange object in sky","BANGALORE","IN",""
"121128","2022-03-08","2022-03-05","Seen this object in the sky no sound looks like it has no wings or marker lights","Mesa","AZ, US",""
"121127","2022-03-07","2022-02-20","My husband and I were draining our pool with our wet dry vac. I saw this odd orb looking Aircraft and started recording it","Peoria","AZ, US",""
"121126","2022-03-07","","","","US",""
"121125","2022-03-07","2021-05-20","UFO flue around over school pickup strange ribbon like things things that flu up to it and 2 days later it was landed in the school field and took off","Lasvegas","NV, US",""
"121124","2022-03-07","2019-07-19","A metallic egg shaped craft with a clear magnetic aura around the craft, it was fatter than an egg on the back end","Boardman","OH, US",""
"121123","2022-03-07","2022-02-03","4 UFOs moving in coordinated maneuvers, seeming to break sound barrier with no boom. Maneuvers that cannot be replicated by our technology","Cancun","MX",""
"121122","2022-03-07","2022-03-05","Cube shaped object black in color flying in a straight line at a fixed height just above the trees I had a object on the bottom moving in a clockwise.","Chadborn","NC, US",""
"121121","2022-03-07","2022-03-07","bruce kohler is not fully human","","NY, US",""
"121120","2022-03-07","2022-03-06","type soucoupe","albert","FR",""
"121119","2022-03-07","2021-09-25","APPARENT UFO SHARING AIRSPACE WITH PLANE LANDING AT DETROIT METRO AIRPORT {two dark objects with wing appendages} - {djs}","Dearborn","MI, US",""
"121118","2022-03-07","2022-02-28","An accidental capture of an unknown anomaly in a photo while photographing desert geoglyphs.","Ehrenburg","AZ, US",""
"121117","2022-03-07","2020-05-18","vaisseau mère","Vignols","FR",""
"121116","2022-03-07","2021-08-20","soucoupe argenté","Vignols","FR",""
