"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"120528","2022-01-25","2022-01-16","Airplane passing, lights appear, then light on left went over center light and that then became center light of 3 lights","Liverpool","GB",""
"120527","2022-01-25","1969-11-07","It was round, like a saucer, maybe 25/30 feet circumferance, green or green & white lights","Emmons","MN, US",""
"120526","2022-01-25","2021-03-12","Red lights in sky","Chesapeake","VA, US",""
"120525","2022-01-25","2022-01-22","Moving/Disappearing Star-Like Triangle UFO","Peterhead","GB",""
"120524","2022-01-25","2022-01-24","triangular illuminated object","zellwood","FL, US",""
"120522","2022-01-25","2021-10-08","Very large ufo flew over my condo","Naples","FL, US",""
"120521","2022-01-25","2022-01-25","All seen while driving","Colorado","CO, US",""
"120520","2022-01-25","2021-07-22","A low fast flying object with","Shoreline","WA, US",""
"120519","2022-01-25","2021-05-19","Two Equilateral Triangle, Cloud-like objects in bright daylight over Wind Power Electricity Farm","Portslade","GB",""
"120518","2022-01-25","2022-01-01","taken from bedroom","","PA, US",""
"120517","2022-01-25","2022-01-19","Saucer shape with dome, taken on Live Photo","Waltham","MA, US",""
"120516","2022-01-25","2022-01-24","Observed multiple hovering/pathing craft - no noise or visible means of propulsion - pulsating/rotating lights of varying color","Los Gatos","CA, US",""
"120515","2022-01-24","2022-01-24","Blue orb hovering above the water.","Destin Fl","FL, US",""
"120514","2022-01-24","2022-01-06","Bright light over my home zoomed out SW","Desoto","TX, US",""
"120513","2022-01-24","2021-06-19","Seen in the Appalachian mountains","Hyndman","PA, US",""
"120512","2022-01-24","2022-01-23","On Sunday night I was having a cigarette outside on the back patio, it was a pretty clear night,while looking at the stars I noticed a faint object.","Panhandle","TX, US",""
"120511","2022-01-24","2022-01-24","Lights moving in synchrony and then fast change of direction","Rutledge","TN, US",""
"120510","2022-01-24","1996-06-10","UFO came right above my head and hovered for approx. 10 min.","Edinburg","TX, US",""
"120509","2022-01-24","2022-01-01","ABDUCTED","","PA, US",""
"120508","2022-01-24","2021-10-02","was observed and filmed at a friends house while we were about 5 miles away looking at the weirdness in the sky","frazier park","CA, US",""
