"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"121023","2022-02-27","2021-07-04","See detailed description","Traverse City","MI, US",""
"121022","2022-02-27","2022-02-26","2 circular rings of light flying parallel to I-75 south in No. Ky","Ft. Mitchell","KY, US",""
"121021","2022-02-27","2022-02-26","Strange light in the sky","Swansea","GB",""
"121020","2022-02-27","1979-08-15","Ball of light over head","West Newfield","ME, US",""
"121019","2022-02-27","2022-02-25","Saw a white round like object flying north","Apopka","FL, US",""
"121018","2022-02-27","2020-01-23","Multiple crafts taking off from same location","Albion","NY, US",""
"121017","2022-02-27","2022-02-26","Same as filed in report 121005 on 02-25-22","Cheyenne","WY, US",""
"121016","2022-02-26","2022-02-26","A fixed circular object like a star","Oceanside","CA, US",""
"121015","2022-02-26","2022-02-26","Pulsating Orb Hovering Near Intl Airport approach area","Jakarta","ID",""
"121014","2022-02-26","2022-02-01","A Photo I took of a coming ice storm with my phone","staunton","IL, US",""
"121013","2022-02-26","1984-02-01","3 puissants rayons lumineux blancs","Burzet","FR",""
"121012","2022-02-26","2021-11-25","A light in our bedroom","","KY, US",""
"121011","2022-02-26","2022-02-23","A magnetic anomaly has occurred on node: 40 - MADAR ALERT","Kansas City Missouri","MO, US",""
"121010","2022-02-26","2021-06-06","Caught on home surveillance, after I was awakened by coyotes howling at 3am.","Trenton","ME, US",""
"121009","2022-02-26","2022-02-26","Trail","Toolern vale","AU",""
"121008","2022-02-26","","","","US",""
"121007","2022-02-26","2022-02-25","Multiple orbs Video tape on iPhone 12","Huntington Beach","CA, US",""
"121006","2022-02-26","2022-02-26","A column of approximately 12 lights gliding in a straight line","Flintshire, Wales","GB",""
"121005","2022-02-26","2022-02-25","Far distance, but appeared round","Cheyenne","WY, US",""
"121004","2022-02-26","","Looked like a shooting star…but was cloudy and couldn’t see stars. Big flash, directional change and then dropped from the sky and disappeared","Jacksonville","FL, US",""
