"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"121000","2022-02-25","1994-06-23","ho visto e to   toccato  un  u.f.o  triangolare","","IT",""
"120999","2022-02-25","2022-02-25","6 ufo's observed for less than a minute and then disappeared.","Sonora","CA, US",""
"120998","2022-02-25","2022-02-23","Driving home shortly before sunset towards Mount Hood we saw three UFOs in a line formation bread out at quite a distance very bright round and white","PORTLAND","OR, US",""
"120997","2022-02-25","2022-02-23","Many objects of various size and colors.  Craft both round and triangles","Uvalde","TX, US",""
"120996","2022-02-25","2021-11-12","2 entities, one type entered inside home, other was outside","","AB, CA",""
"120995","2022-02-25","2022-02-05","A rectangle outlined","manhattan","KS, US",""
"120994","2022-02-25","2020-11-19","Sighting Recorded","Forestburg","TX, US",""
"120993","2022-02-25","2022-02-20","Pulsating daytime object","Abu Dhabi","AE",""
"120992","2022-02-25","2022-02-23","bright orange, red orb in NE sky just above treelike that hovered and then quietly fell below treelike. 2nd one higher in E; hovered then started fall","Harrisville","NH, US",""
"120991","2022-02-25","2022-02-02","taken from bedroom","","PA, US",""
"120990","2022-02-25","2021-04-26","Glowing light in the sky","Spring","TX, US",""
"120989","2022-02-25","2022-02-23","4 lumières stationnaires","Aix-en-Provence","FR",""
"120988","2022-02-25","","","","VA, US",""
"120987","2022-02-25","2022-02-23","Deuxième observation en lien avec le cas 120441","Sagy","FR",""
"120986","2022-02-25","1996-08-09","Me and my brother announced that we saw it exactly at the same time flying over our airport.","Saint Augustine","FL, US",""
"120985","2022-02-25","2022-02-24","white, reflective sphere","Gardnerville","NV, US",""
"120984","2022-02-24","2022-02-24","Coming off the exit ramp we saw 3 orbs.","Barnhart","MO, US",""
"120983","2022-02-24","2022-02-24","Two Lights, one left, three more appeared, started disappearing one by one until all gone, then three reappeared","Peabody","MA, US",""
"120982","2022-02-24","2022-01-11","Bat signal shows up next to the sun when I was taking pictures of strange cloud formations","Mess","AZ, US",""
"120981","2022-02-24","2022-02-24","Bright light with changing directions","Allentown","PA, US",""
