"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"120400","2022-01-18","2022-01-17","Tic Tac craft","Central","LA, US","trim.A5B54CFB27E844249F0511670B6A72DB.MOV"
"120399","2022-01-18","2021-07-16","While I was a passenger in my daughter's car, a VERY bright light was hovering above the tree line, then came towards our car and sped away down the f","Everett","WA, US",""
"120398","2022-01-18","2019-03-21","Unexplainable mysterious and fantastically beautiful giant fire bird that emits an elegant, dazzling aura","Tokyo","JP","FINAL202112092.jpgFINAL20211209.jpgFINAL202112091.jpg5.jpg"
"120397","2022-01-18","2016-06-18","Japanese UFO  captured by Automatic Robot SID-1","Tokyo","JP","M20160618092529Ssf.jpg"
"120396","2022-01-18","2014-07-08","A mysterious UFO has crossed over Tokyo  at a very high speed","Tokyo","JP","UFOlarge20220104.jpg12UFO202101152.jpg13UFO202101154.jpg"
"120395","2022-01-18","2022-01-17","Fiancé and I went to see the sunset on Galveston Seawall. Sunset was at 7:15am, when we witnessed the light.","Galveston","TX, US","17B8D6820A604D1C8500D8DF168AD4DB.jpegA217B460196D4D7B98068DC996B25585.jpegC94978119EA745B0991D01E183323EDB.jpeg9A9FB4E4CE5E4282BAEDB5B4D98897EC.jpeg41103199E0C3422CA51681A31740B999.jpeg"
"120394","2022-01-18","2022-01-18","Two parallel lights","Durham","GB",""
"120393","2022-01-18","2022-01-17","Two lights shining brightly in sky. Both dined into nothing over time. Did not move I wind like a flare would however. Also no reflection off clouds.","Rancho cucamonga","CA, US",""
"120392","2022-01-18","2022-01-12","2 lights moving together, at first","Tooele","UT, US","20220112182457.mp4"
"120391","2022-01-18","2008-05-14","Took off and left atmosphere","Bangkok","TH",""
"120390","2022-01-17","2012-10-14","Silent, large dark object observed","peoria","AZ, US",""
"120389","2022-01-17","2022-01-17","This is an object that can't be seen with the naked eye. It shows up on my drone video almost everyday for the last year.","Superior","NE, US","object.mp4spittotheground.mp4binocularsinfrontofdrone.mp4"
"120388","2022-01-17","2022-01-17","Moved slowly through the air with a low humming noise and had a pulsing reddish orange light and the shape of a sphere","Tupelo","MS, US","trim.0E5F2F3827114CC7AC48E0A77CCD6BFB.MOV"
"120387","2022-01-17","2022-01-17","Light in sky","Portlaoise","IE",""
"120386","2022-01-17","","","","BE",""
"120385","2022-01-17","2022-01-15","Five white orbs flying in formation in a straight line at a speed faster than an airliner departing the airport","Fort Myers","FL, US",""
"120384","2022-01-17","2018-08-23","I observed this white pulsating light in the NE sky, that abruptly went very dim and shot off in awkward trajectory. This was no star.","Kenner","LA, US",""
"120383","2022-01-17","2022-01-17","Two lights very bright. One descended vertically and light went out.","Maidstone","GB",""
"120382","2022-01-17","2022-01-15","Very low, slow flying winged aircraft?","Melbourne","FL, US",""
"120381","2022-01-17","2021-12-15","Very bright objects like stars","Laytown","IE",""
