"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"120559","2022-01-27","2022-01-26","Triangular Shaped craft which seem to sometimes hover, dive, bank, ans become brighter. three bright white lights with a red blinking back light.","Hopkinsville","KY, US",""
"120558","2022-01-27","2021-08-08","Two solid object UFOs with Auras flew by, disappeared, reappeared, then the next day reappeared","Warrens","WI, US",""
"120557","2022-01-27","2022-01-26","Hundreds of small lights that look like little balls of fire flew over Henderson and las vegas lasted about 25 min","Henderson","NV, US",""
"120556","2022-01-27","2022-01-22","White disc flew overhead","San Francisco","CA, US",""
"120555","2022-01-27","2016-08-16","Bizarre illuminated objects on Google Earth with trail; Google later censors out image (Long Island)","Lloyd Harbor","NY, US",""
"120554","2022-01-27","2022-01-26","Two-Gray/silver and white objects- Aspirin size.","Taylorville","IL, US",""
"120553","2022-01-27","2022-01-27","Color changing lights in the sky","Port Richey","FL, US",""
"120552","2022-01-27","2022-01-26","IFO","Canoe","BC, CA",""
"120551","2022-01-27","2022-01-25","Two orb shaped pulsating lights","Lancaster","OH, US",""
"120550","2022-01-27","2022-01-05","Unknown green disc that changed shape.","Lancaster","OH, US",""
"120549","2022-01-27","2022-01-15","Un objet comme une rondelle de mecanicien","Ciney","BE",""
"120548","2022-01-27","2020-07-07","photographie","Iles Canaries","ES",""
"120547","2022-01-27","2022-01-27","Gently pulsating, bright, warm light becomes bright white and transforms into geometric pattern- then turns into a giant black void for a few seconds,","Frankfort","NY, US",""
"120546","2022-01-26","","","","US",""
"120545","2022-01-26","2022-01-26","Large bright white sphere with no trail or tail, no sound, moving downward following curve of the earth rapidly","Latta","SC, US",""
"120544","2022-01-26","2022-01-25","Very Bright star-like object low in the night sky","Hudson","NY, US",""
"120543","2022-01-26","2021-12-25","James Webb Telescope Launch UAP's/UFO's in Space Around Telescope, Change Direction, Speed up Slow Down, Rotating, Pulsate","San Diego","CA, US",""
"120542","2022-01-26","2022-01-25","nightly, UFO comes from East, hovers for several hours with sporadic movements","Petersburg","IN, US",""
"120541","2022-01-26","","Close distance UFO encounter.","Šeduva","LT",""
"120540","2022-01-26","2022-01-18","Thought it was a bright Mars in the dawn light.","Buckley","GB",""
