"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"121095","2022-03-05","2021-09-17","it hovered and seemed to be able to disturb electronics","bainbridge","NY, US",""
"121094","2022-03-05","2020-02-17","this was my first sighting of them. where you can clearly see orbs glowwing moving at a fast rate on the ground.","Platteville","CO, US",""
"121093","2022-03-05","2022-03-03","Memory of odd occurrence of prior night","","NH, US",""
"121092","2022-03-05","2022-03-05","White/blue orb","Vandalia","IL, US",""
"121091","2022-03-04","2022-02-28","Star or orb?","Chandler","AZ, US",""
"121090","2022-03-04","2022-03-03","3 orbs seen flying low in night sky.","Frankfort","IL, US",""
"121089","2022-03-04","2022-02-18","Big goldship presumesucked helium three from the dark side","We","GB",""
"121088","2022-03-04","2022-03-03","Black triangle w/ dim lights moving silently blocking out star","Stow","OH, US",""
"121087","2022-03-04","2020-03-19","Set up","","NC, US",""
"121086","2022-03-04","2022-02-02","Orbs travailing West above river","Montesano","WA, US",""
"121082","2022-03-04","2022-03-04","Spherical orb travelling at astronomical rate of speed west , north of detroit MI","Novi","MI, US",""
"121081","2022-03-04","2022-03-04","Approx. 20 reflective objects circling themselves in sky and suddenly disappearing","Quebec","QC, CA",""
"121080","2022-03-04","2022-03-04","My daughter observed object falling from sky. She said it had 2 tails.","Claremont","NH, US",""
"121079","2022-03-04","2022-03-03","Hovering pulsating orb. I have videos and photos. Became two white orbs spiraling each other, and would go back to being one orb. My camera gas Ultra","Grand Rapids","MI, US",""
"121078","2022-03-04","","","","US",""
"121077","2022-03-04","2022-03-04","LARGE BRIGHT ROUND LIGHT HOVERING SILENTLY THEN DESCENDING  BEHIND THE LANDSCAPE LIGTING UP A VERY LARGE AREA","PULASKI","TN, US",""
"121076","2022-03-03","2022-01-01","I only noticed the object after the photo was taken. I never actually saw any of the UFO's until I looked at my phone photos.","Cumming","GA, US",""
"121075","2022-03-03","2017-01-24","3 green dancing orbs","Austin","TX, US",""
"121074","2022-03-03","2022-03-03","A cluster of both stationary and moving lights that went from as many to 7 to none at different points over the course of 45 minutes of observation","Suwanee","GA, US",""
"121073","2022-03-03","2020-03-15","A white very Brite light. It maintained the brightness and color for most of the viewing. Mostly in one spot then lifted away very quickly at an angle","Seminole","FL, US",""
