"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"120837","2022-02-14","2017-12-22","Video and several photos of some craft with plume tail","Salem","OR, US",""
"120836","2022-02-13","2022-01-26","Object appears to spin around like a gyro.","Humptulips","WA, US",""
"120835","2022-02-13","2022-02-12","White orb","Millsboro","DE, US",""
"120834","2022-02-13","2022-02-12","Tic tac ship back in 5 days","Palm.beach gardens","FL, US",""
"120833","2022-02-13","2022-02-13","White light travelling above trees","Bellbird Park","AU",""
"120832","2022-02-13","2020-01-07","Cylindrical UFO north of San Antonio JAN 7, 2020 at 5:52 am.","Spring Branch","TX, US",""
"120831","2022-02-13","2022-02-12","Seen a light blinking in and out as it traveled","Tillamook","OR, US",""
"120830","2022-02-13","2022-02-11","A bright colored object over the Hudson River","Woodcliff lake","NJ, US",""
"120828","2022-02-12","2021-09-20","Glowing orb","Scotch plains","NJ, US",""
"120827","2022-02-12","1982-11-01","Bright light on me. Massive silent craft hovered over us. Started to move, no sound, zipped off fast.","Wells","NV, US",""
"120826","2022-02-12","2022-02-11","Spotted bright “star” and it began to move in a weird way. Watched for over 40 minutes as it pulsated and danced. Zoom in to see it change size/color","Portland","OR, US",""
"120825","2022-02-12","2022-02-11","Elongated cone shaped ufo changed form before my eyes","Gardena ca","CA, US",""
"120824","2022-02-12","2020-02-01","Disk comes out of clouds and then disappears next frame looks just like pentagon ufo","Spring valley","MN, US",""
"120823","2022-02-12","2019-06-24","Ufos circling the sky at incredible speed","Palm Bay","FL, US",""
"120822","2022-02-12","","","Medway","OH, US",""
"120821","2022-02-12","2022-02-11","Cigar shaped object moving slowly and silently overhead","Escondido","CA, US",""
"120820","2022-02-11","2022-02-11","Two orbs pulsating and moving together","Clinton","MS, US",""
"120819","2022-02-11","","","Lebanon","NH, US",""
"120818","2022-02-11","2022-02-11","Have videos of two obs on a video camera we use daily rhey floated and went in many directions for several hours. Landed on grass afraid to go out the","Orangeburg","NY, US",""
"120817","2022-02-11","2022-02-10","video of UFOs while cruising the Caribbean Sea","phoenix","UM",""
