"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"121922","2022-04-26","2022-04-25","I witnessed star like object grow brighter then dim, then move of in a slow deliberate easterly direction.","Cedar Bluff","VA, US",""
"121921","2022-04-26","2022-04-25","Witnessed star like object make erratic moves, before moving off rapidly.","Cedar Bluff","VA, US",""
"121920","2022-04-26","2022-04-20","Moving light","Towson","MD, US",""
"121919","2022-04-26","2022-04-25","Fly over","Cape Coral","FL, US",""
"121918","2022-04-26","2022-04-15","ligne étrange , avec des fenêtres","Schoenau","FR",""
"121917","2022-04-25","2022-04-22","I went outside to look at the night sky around 8. Then saw the object (lights) with a light beam going to the ground.","Mesa","AZ, US",""
"121916","2022-04-25","1980-07-22","Glowing red then changing to orange eliptic in shape.","Beloit","WI, US",""
"121915","2022-04-25","2022-04-04","I am being indoctrinated by aliens and I am turning them in.","","FL, US",""
"121914","2022-04-25","2017-11-18","Anonymous Sighting. I took 2 photos, the 2nd on this date I destroyed. The first I didn't get a chance to take a photo.","Coweta","OK, US",""
"121913","2022-04-25","2016-07-15","Star-like orb/star floating over the treetops towards me and fading out in front of me","Petersburg","VA, US",""
"121912","2022-04-25","2022-04-24","Ball of light/Orb","Fenton","MI, US",""
"121911","2022-04-25","2022-04-24","The entire island of Catalina shaped shifted and was filled with ufos","Catalina island","CA, US",""
"121910","2022-04-25","2022-04-23","Return of Orb from 4 weeks ago","Woodland Hills","CA, US",""
"121909","2022-04-25","","Transparent/cloaked boomerang shaped flying object 30+ feet in width. 100% silent flying between 500-1000ft at high speed heading N/NW.","Summerland Key","FL, US",""
"121908","2022-04-24","2022-04-24","Star-like Orb","Ottsville","PA, US",""
"121907","2022-04-24","2022-04-17","lights fly aroung in circle , spheres form","montevideo","UY",""
"121906","2022-04-24","2016-06-17","Starlike orb","Petersburg","VA, US",""
"121905","2022-04-24","","3 lights in sky","Hot springs","AR, US",""
"121904","2022-04-24","2022-04-11","classic disk","stockton","NJ, US",""
"121902","2022-04-24","2022-04-17","Found completely by accident.","Copley","OH, US",""
