"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"120312","2022-01-13","2022-01-12","Ball of light","Scott city","MO, US",""
"120311","2022-01-13","2021-11-08","Glowing thing looked like a drone, but was not","Warrenton","MO, US",""
"120310","2022-01-13","","I have been abducted and witness UFOs all the time. I also have photo evidence of ETs","Mint Hill","NC, US",""
"120309","2022-01-13","2021-12-03","String of lights ascending the sky","Marlinton","WV, US",""
"120308","2022-01-13","2022-01-12","5 lights hovering North of Seattle","Port orchard","WA, US",""
"120307","2022-01-13","2022-01-12","Saw something flying behind my house, then over my house, then several miles past my house. Not an airplane. I see those EVERY NIGHT AND DAY.","Dripping Springs","TX, US",""
"120306","2022-01-13","2022-01-12","As in pictures and video, bright glowing object in sky that didn’t leave a trail, going strait up then changing direction.","Hinchley wood, Surrey England","GB",""
"120305","2022-01-13","2022-01-04","Photographed a strange looking object neat a jet aircraft.","Adelaide. South Australia.","AU",""
"120304","2022-01-13","2020-11-10","I observed a large triangular object hover near me.","Cairo","NY, US",""
"120303","2022-01-13","2021-11-26","Red glowing lights information flying towards Lake Michigan and vanished in mid air","Beach park","IL, US",""
"120302","2022-01-13","","","","US",""
"120301","2022-01-12","2022-01-13","Looking south, I noticed a very reflective silver oval shaped object.","Adelaide. South Australia.","AU",""
"120299","2022-01-12","2022-01-13","spotted large reflective oval shaped object very high up while gardening.","Adelaide. South Australia.","AU",""
"120298","2022-01-12","2022-01-10","Observed pair of white lights that later moved from south to north revealing a long triangle shape object.","Harahan","LA, US",""
"120297","2022-01-12","2021-11-17","Cigar shaped white UFO with outline flying consistently","Denver","CO, US",""
"120296","2022-01-12","2022-01-10","Change in Direction","Miami","FL, US",""
"120295","2022-01-12","2022-01-12","FLASHES IN NORTH WEST SKY AT 45 DEG.","AURORA","CO, US",""
"120294","2022-01-12","2022-01-02","4 lights rose low in the sky from the horizon and hovered...made  triangle while pulsating dimmed out then 5 more did the same thing","Kyle","TX, US",""
"120293","2022-01-12","2022-01-09","I was taking a picture of the stars when I notice a star was moving side to side every couple seconds. I took 3 pictures and it multiplied.","Newport","NC, US",""
"120292","2022-01-12","2022-01-12","Comet shaped gray object changed shape, hovered for minutes then dissolved.","North Las Vegas","NV, US",""
