"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"121143","2022-03-08","2022-03-08","was trying out new superzoom camera on airplane, when spotting the object.","bolsover","GB",""
"121142","2022-03-08","","Glowing almost as flames, cylindrical, constant steady speed and direction, three altogether flying one after the other with same distance in between","Marion","IN, US",""
"121141","2022-03-08","2022-03-02","White cigar shaped","Miami","OK, US",""
"121140","2022-03-08","2011-06-28","Took photo of ghost  in “ The Mountain of Beverly Hills” year - 2011","","CA, US",""
"121139","2022-03-08","2022-01-06","My first Entity contact.","","TN, US",""
"121138","2022-03-08","2022-03-06","Equilateral triangular object at some distance,  from moving vehicle east bound, assuming freeway east object about 20 degrees from east twowar south,","Boise","ID, US",""
"121137","2022-03-08","2019-02-09","Predator cloaking","","OK, US",""
"121136","2022-03-08","2022-03-06","8 bright yellow orbs stationary in a V shape. Then ascended separately.","Deer Lodge","MT, US",""
"121135","2022-03-08","","Patrick Marechal Deception","Wallonia","BE",""
"121134","2022-03-08","2010-08-02","Observed dark triangle - extremely large and hovering","Levittown","PA, US",""
"121133","2022-03-08","2022-03-03","perfect round glowing ball","bolton","GB",""
"121132","2022-03-08","2022-03-08","Metallic circular object","Cedar Rapids","IA, US",""
"121131","2022-03-08","2022-03-07","Bright flashing light, with no apparent source","Baltimore","MD, US",""
"121130","2022-03-08","2005-12-13","Singular Vehicle, seems to observe directly into my widow 50-70ft away","North Grosvenordale","CT, US",""
"121129","2022-03-08","2022-03-01","Strange object in sky","BANGALORE","IN",""
"121128","2022-03-08","2022-03-05","Seen this object in the sky no sound looks like it has no wings or marker lights","Mesa","AZ, US",""
"121127","2022-03-07","2022-02-20","My husband and I were draining our pool with our wet dry vac. I saw this odd orb looking Aircraft and started recording it","Peoria","AZ, US",""
"121126","2022-03-07","","","","US",""
"121125","2022-03-07","2021-05-20","UFO flue around over school pickup strange ribbon like things things that flu up to it and 2 days later it was landed in the school field and took off","Lasvegas","NV, US",""
"121124","2022-03-07","2019-07-19","A metallic egg shaped craft with a clear magnetic aura around the craft, it was fatter than an egg on the back end","Boardman","OH, US",""
