"Date/Time","City","State","Country","Shape","Duration","Summary","Posted","Image","URL","ID","madar"
"5/15/22 19:20","Pine Grove","CO","USA","Cylinder","7 -8 minutes","Bright Rotating/Tumbling object","6/22/22","","https://www.nuforc.org/webreports/reports/168/S168355.html","484X2022.07.16.11.15.10",FALSE
"5/15/22 19:20","Pine Grove","CO","USA","Changing","4-5 min","What appeared as rotating cube that then appeared as a cyclinder in a upright postion","6/22/22","","https://www.nuforc.org/webreports/reports/168/S168559.html","485X2022.07.16.11.15.10",FALSE
"5/15/22 14:00","Sparks","NV","USA","Oval","About 50 seconds","5 white oval shape objects in the sky above me.","6/22/22","","https://www.nuforc.org/webreports/reports/168/S168372.html","487X2022.07.16.11.15.10",FALSE
"5/15/22 10:30","Roosevelt","MN","USA","Light","three minutes","brightening and dimming light traveling across the sky in a large arc then disappearing.","6/22/22","Yes","https://www.nuforc.org/webreports/reports/168/S168304.html","488X2022.07.16.11.15.10",FALSE
"5/15/22 09:05","OREGON CITY","OR","USA","Circle","","seen in our yard come over trees a bright fiery orange colored light and disc shaped object. When it flew closer to our home had lights","6/22/22","","https://www.nuforc.org/webreports/reports/168/S168219.html","489X2022.07.16.11.15.10",FALSE
"5/14/22 23:08","Reno","NV","USA","","45 seconds","Attached video","6/22/22","","https://www.nuforc.org/webreports/reports/168/S168384.html","491X2022.07.16.11.15.10",FALSE
"5/14/22 23:08","East Syracuse","NY","USA","Cigar","About 4 minutes","4 people Witnessed a solid cigar shape craft which was illuminated","6/22/22","","https://www.nuforc.org/webreports/reports/168/S168385.html","492X2022.07.16.11.15.10",FALSE
"5/14/22 23:08","Sault Ste Marie","MI","USA","Disk","about 10 mins","We were riding bikes on the road and looked up and saw it. We grabbed out phones and recorded it","6/22/22","","https://www.nuforc.org/webreports/reports/168/S168390.html","493X2022.07.16.11.15.10",FALSE
"5/14/22 23:07","Tulelake","CA","USA","Rectangle","About a minute","Single large bar of light traveling at very high speed perpendicular to the light.","6/22/22","Yes","https://www.nuforc.org/webreports/reports/168/S168349.html","494X2022.07.16.11.15.10",FALSE
"5/14/22 23:06","Pulaski","NY","USA","Cigar","68 seconds","A brightly lit fuselage moving though at 10K<U+0092>","6/22/22","Yes","https://www.nuforc.org/webreports/reports/168/S168387.html","495X2022.07.16.11.15.10",FALSE
