"Date/Time","City","State","Country","Shape","Duration","Summary","Posted","Image","URL","ID"
"8/22/21 19:42","Laramie","WY","USA","Cigar","10 min","It looked like a window and door less propane tank in the sky","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167774.html","251X2022.06.05.10.29.06"
"8/20/21 02:00","Union","IL","USA","Rectangle","not sure-woke/ heard/saw","Beings on our property nightly coming over our house. Have proof.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167594.html","252X2022.06.05.10.29.06"
"7/11/21 13:48","Corbett","OR","USA","Light","Picture taken phone","Tic tac white round spots in sky over Crown Point from a picture taken from phone while driving","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167837.html","253X2022.06.05.10.29.06"
"7/10/21 00:59","Oklahoma city","OK","USA","Other","5 to 10 seconds","It flew right in front of me and disappeared","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167699.html","254X2022.06.05.10.29.06"
"6/4/21 19:40","Brooklyn","NY","USA","Disk","3 minutes","Direct Contact: Stared at each other for three minutes before it took off","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167721.html","255X2022.06.05.10.29.06"
"10/29/20 09:00","San Antonio","","USA","Triangle","5 minutes","I saw 3 lights about 200ft or so in the sky in front of/above me.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167689.html","256X2022.06.05.10.29.06"
"8/19/20 23:45","Kenner","LA","USA","Triangle","5-7 minutes","Bright light in the sky was fall extremely fast and came to a dead stop. The UFO came towards the I-10 slowly and turned on “headlights","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167693.html","257X2022.06.05.10.29.06"
"8/6/20 15:05","","","","Cylinder","dont know short time","Cylinder shaped rotating horizonatally","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167590.html","258X2022.06.05.10.29.06"
"5/15/20 18:10","Longs","SC","USA","Light","2-3 minutes","Started as 1 light split off into 5, circled around each other, went back to 1 light and disappeared.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167646.html","259X2022.06.05.10.29.06"
"5/12/20 01:30","Kennesaw","GA","USA","Egg","1 minute","White egg/Tic Tac","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167674.html","260X2022.06.05.10.29.06"
"9/12/19 20:00","Saugerties","NY","USA","","","Entity’s visible on pics taken","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167793.html","261X2022.06.05.10.29.06"
"1/11/19 22:22","Dover","DE","USA","Cylinder","It was around 10 seconds","It was around 12 PM me and my friends saw a orange cylinder spacecraft goes extremely fast in the sky","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167785.html","262X2022.06.05.10.29.06"
"11/5/18 18:05","Kamloops","BC","Canada","Oval","4 minutes","Saw 3 gold balls with a light on top corner","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167619.html","263X2022.06.05.10.29.06"
"4/19/18 16:00","Moore","OK","USA","Disk","5 minutes","Disk U.F.O.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167614.html","264X2022.06.05.10.29.06"
"4/19/18 04:00","Moore","OK","USA","Disk","5 minutes","U.F.O.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167617.html","265X2022.06.05.10.29.06"
"10/31/15 21:00","Columbia","TN","USA","Formation","10-15 minutes","My daughter and I were paced by a formation of craft for about ten miles.","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167770.html","266X2022.06.05.10.29.06"
"7/11/14 02:30","Camo lemonnier","Djibouti","Djibouti","Other","30 minutes","Deployment saw on airfield.  ((NUFORC Note:  Report fom former U. S. military.  PD))","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167841.html","267X2022.06.05.10.29.06"
"6/12/14 23:59","Dallas","TX","USA","Disk","Ongoing","Physics Defying, Red/Green Glowing UAP. Disk shape, interaction with ethereals.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167694.html","268X2022.06.05.10.29.06"
"8/3/12 01:33","Eaton Rapids","MI","USA","Triangle","1-2 minutes","Enormous silent relatively low flying V shaped air craft flew over my home.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167786.html","269X2022.06.05.10.29.06"
"3/31/10 02:00","","","","Sphere","Circa 20 seconds","2010, on a flight from Dom Rep to Glasgow 2am. Orange globe moves length of plane.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167799.html","270X2022.06.05.10.29.06"
"12/13/03 01:15","Avon","CO","USA","Triangle","30 seconds","Height of a helicopter, black, no noise, 5 lights from tip to each side end","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167736.html","271X2022.06.05.10.29.06"
"5/3/02 20:45","Florence","AZ","USA","Triangle","1-2 mins","Poston Butte area Florence AZ.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167777.html","272X2022.06.05.10.29.06"
"10/1/01 04:22","Dublin","County Dublin","Ireland","Other","2 minutes","encounter","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167812.html","273X2022.06.05.10.29.06"
"6/15/00 15:00","Omaha","NE","USA","Other","3 to 5 minutes","Odd red cloud in clear sky, several small object came out of it moved around in the sky and then went back into the cloud and it faded","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167806.html","274X2022.06.05.10.29.06"
"7/26/98 18:25","Portland","OR","USA","Cylinder","30 seconds","See picture","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167758.html","275X2022.06.05.10.29.06"
"6/7/97 07:30","Mountain Home","ID","USA","","~ 10 min.","MHAFB Approach Controller sighted ufo followed me for approx 20 miles then fell off radar.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167638.html","276X2022.06.05.10.29.06"
"10/31/95 23:30","Westport","CT","USA","Circle","Approximately 1 minute","Silent, very slow moving, pulsing red lights under perimeter, passed directly overhead, making 90 degree change of direction, S to W.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167724.html","277X2022.06.05.10.29.06"
"2/18/93 02:30","Homer Glen","IL","USA","Disk","Don't remember","I know what my sister saw. She knows what I saw.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167650.html","278X2022.06.05.10.29.06"
"5/16/90 16:00","Maryland","","USA","Unknown","happening all my life","That was in egypt","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167727.html","279X2022.06.05.10.29.06"
"5/6/87 19:09","GLENROCK","WY","USA","Cigar","4 Minutes","Sighted on Friday 15. May 1987 Reported on Friday 15. May 1987","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167607.html","280X2022.06.05.10.29.06"
"12/15/77 00:00","Lake Charles","LA","USA","Unknown","Unknown","Visited by UFO","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167675.html","281X2022.06.05.10.29.06"
"6/9/76 20:45","Dighton","MA","USA","Oval","1-2 mins","Sparkling oval shape light","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167654.html","282X2022.06.05.10.29.06"
"9/21/75 19:00","Newburyport","MA","USA","Cigar","25 to 40 minutes","Massive craft about the size of an aircraft carrier that was hovering and was silent and appeared to be rotating.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167653.html","283X2022.06.05.10.29.06"
"2/28/68 18:15","McKenzie Bridge","OR","USA","Disk","6 seconds","Very unusual disc shaped object observed through a telescope with 7 pinpoint lights rotating around it like the second hand of a clock.","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167592.html","284X2022.06.05.10.29.06"
