"Date/Time","City","State","Country","Shape","Duration","Summary","Posted","Image","URL","ID","madar"
"8/7/22 20:15","Crystal City, Arlington","VA","USA","Oval","12 seconds","Was eating dinner on the terrace with my friend when I saw this tic tac moving through a clear sky","9/9/22","Yes","https://www.nuforc.org/webreports/reports/170/S170994.html","382X2022.09.15.20.54.06",FALSE
"8/7/22 17:30","Lexington","KY","USA","Circle","15 to 20 seconds","Stationary orb, very bright and very high altitude.","9/9/22","","https://www.nuforc.org/webreports/reports/171/S171009.html","383X2022.09.15.20.54.06",FALSE
"8/7/22 15:37","West Springfield","MA","USA","Unknown","Approx. 20 Seconds","Traveled west to east, then slightly curved off. No lights and pigmented gray, did match the night sky and was quite.","9/9/22","","https://www.nuforc.org/webreports/reports/170/S170946.html","384X2022.09.15.20.54.06",FALSE
"8/7/22 13:00","Named in the video","","Germany","Cigar","Andreas Trimmel","It was one thing.","9/9/22","","https://www.nuforc.org/webreports/reports/170/S170939.html","385X2022.09.15.20.54.06",FALSE
"8/7/22 12:00","Grayson","LA","USA","","Over a 2 hour period","Multiple sightings for 2 hours straight for 3 consecutive nights.","9/9/22","","https://www.nuforc.org/webreports/reports/170/S170944.html","386X2022.09.15.20.54.06",FALSE
"8/7/22 07:31","Over Toledo bend lake","TX","USA","Triangle","Maybe a minute","I noticed it when it came up through the cloud. It made a plume with the cloud. Seems to hover a little and then disappeared.","9/9/22","","https://www.nuforc.org/webreports/reports/171/S171101.html","387X2022.09.15.20.54.06",FALSE
"8/7/22 06:29","Bradenton","FL","USA","Circle","about 2 minutes","A very bright circle of light came from the southwest and moved across the sky to the northeast and disappeared.","9/9/22","","https://www.nuforc.org/webreports/reports/171/S171013.html","388X2022.09.15.20.54.06",FALSE
"8/7/22 03:30","Lebanon","OH","USA","Unknown","3 minutes","A vertically orientied and tight collection of dozens and dozens of random, blinking lights.","9/9/22","","https://www.nuforc.org/webreports/reports/171/S171005.html","389X2022.09.15.20.54.06",FALSE
"8/7/22 03:00","Gridley","CA","USA","Oval","30 seconds","Super bright green oval","9/9/22","","https://www.nuforc.org/webreports/reports/171/S171022.html","390X2022.09.15.20.54.06",FALSE
"8/7/22 01:00","Tacoma","WA","USA","Circle","3-4 hrs","A cluster of blue- white lights descending slowly into forest","9/9/22","Yes","https://www.nuforc.org/webreports/reports/170/S170937.html","391X2022.09.15.20.54.06",FALSE
"8/7/22 00:30","Vineyard","UT","USA","Chevron","","My friend and I both saw a translucent chevron shape flying through the night sky.","9/9/22","","https://www.nuforc.org/webreports/reports/170/S170945.html","392X2022.09.15.20.54.06",FALSE
"8/7/22 00:11","Waterlooville","","United Kingdom","Circle","20 minute's","4 different circles making 90 degree turns that were in a pattern but not coordinated with a weird green white glow.","9/9/22","","https://www.nuforc.org/webreports/reports/170/S170942.html","393X2022.09.15.20.54.06",FALSE
"8/7/22 00:00","Hickory","NC","USA","Light","10-12 minutes","I took my dog outside to the backyard one last time before bed, blue light about size of basketball circling my house","9/9/22","","https://www.nuforc.org/webreports/reports/170/S170935.html","394X2022.09.15.20.54.06",FALSE
