"Date/Time","City","State","Country","Shape","Duration","Summary","Posted","Image","URL","ID","madar"
"10/18/22 01:47","Zuni","NM","USA","Other","4 minutes","Seen a unknown object changing shapes and colors. When inspecting the photos, we noticed several objects changing colors and shapes.","12/22/22","Yes","https://www.nuforc.org/webreports/reports/172/S172528.html","722X2023.01.29.09.41.02",FALSE
"10/17/22 22:48","Saint James","MO","USA","Unknown","5 min","3 craft flying pallalel, no sound,","12/22/22","","https://www.nuforc.org/webreports/reports/172/S172530.html","723X2023.01.29.09.41.02",FALSE
"10/17/22 22:30","Welwyn garden coty","Hertfordshire","United Kingdom","Light","Its still there","Looked like a star drop then fly across the sky and now its just sitting there, looks like a star but its too close and too muchlight","12/22/22","","https://www.nuforc.org/webreports/reports/172/S172523.html","724X2023.01.29.09.41.02",FALSE
"10/17/22 21:58","Seattle","WA","USA","Circle","About 5 minutes","This is the second time Ive seen this bright orange dot in the sky..  ((NUFORC Note:  Lens flars.  PD))","12/22/22","Yes","https://www.nuforc.org/webreports/reports/172/S172438.html","725X2023.01.29.09.41.02",FALSE
"10/17/22 20:45","Sebring","FL","USA","Circle","30 seconds","3 bright white/yellow orbs in triangular shape appeared then dissappeared . i saw 5 us aircrafts chasing after it then it dissapeared","12/22/22","","https://www.nuforc.org/webreports/reports/172/S172538.html","726X2023.01.29.09.41.02",FALSE
"10/17/22 20:30","clearwater","FL","USA","Rectangle","10 minutes","Bright Multi color lights Huge and Hovering, moving slow, then darted to south quickly out of view","12/22/22","Yes","https://www.nuforc.org/webreports/reports/172/S172531.html","727X2023.01.29.09.41.02",FALSE
"10/17/22 19:39","STOKE-ON-TRENT","Staffordshire","United Kingdom","Changing","Around 7","The other night me and other cadets heard a humming sound we didn't know where it was coming from so we looked up in the sky and we dot","12/22/22","","https://www.nuforc.org/webreports/reports/172/S172505.html","728X2023.01.29.09.41.02",FALSE
"10/17/22 19:30","Avondale","AZ","USA","Circle","15 minutes","3 lights slowly moving south","12/22/22","Yes","https://www.nuforc.org/webreports/reports/172/S172465.html","729X2023.01.29.09.41.02",FALSE
"10/17/22 19:10","Tarzana (Los Angeles)","CA","USA","Fireball","2 seconds","A large blue green fireball with a small tail north of Tarzana, CA","12/22/22","","https://www.nuforc.org/webreports/reports/172/S172537.html","730X2023.01.29.09.41.02",FALSE
"10/17/22 19:05","Pace","FL","USA","Unknown","1 minute","Bright red light, smaller white light at rear, Niether light blinking. no sound","12/22/22","","https://www.nuforc.org/webreports/reports/172/S172539.html","731X2023.01.29.09.41.02",FALSE
"10/17/22 16:00","tempe","AZ","USA","Circle","unknown","a big ball of light that shrank and rapidly change direction","12/22/22","","https://www.nuforc.org/webreports/reports/172/S172540.html","732X2023.01.29.09.41.02",FALSE
