"","Date/Time","City","State","Country","Shape","Duration","Summary","Posted","Image","URL","ID","madar"
"1342","3/14/17 02:00","Lakehead","CA","USA","Light","5ish minutes","In the night , we were outside doing evp sessions when a light grabbed our attention and brought more smaller lights.","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166928.html","959X2022.04.30.18.48.21",FALSE
"1343","2/17/17 21:00","Indianapolis","IN","USA","Fireball","10 minutes","It was trying to make contact","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166074.html","960X2022.04.30.18.48.21",FALSE
"1344","10/19/16 17:00","Wildwood","FL","USA","Circle","About 30 seconds","I saw a circle ship that was flying in the sky","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166412.html","961X2022.04.30.18.48.21",FALSE
"1345","7/31/16 20:00","Toronto (Canada)","Ontario","Canada","Disk","3 to 4 minutes","We both saw and filmed the craft at the park","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166923.html","962X2022.04.30.18.48.21",FALSE
"1346","7/15/16 21:35","Baltimore","MD","USA",NA,NA,"Very unusual morning and lighting.","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166668.html","963X2022.04.30.18.48.21",FALSE
"1347","6/1/16 18:00","Mechanicsburg","PA","USA","Sphere","10 minutes","Disc shaped object with flashing multi-colored lights","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166891.html","964X2022.04.30.18.48.21",FALSE
"1348","6/1/16 05:25","De Funiak Springs","FL","USA","Cylinder","10 minutes","Very bright ""star"" was noticed to the south, got inc. brighter was joined by 4-5 others, turned into rectangles Bus like craft emerged","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166797.html","965X2022.04.30.18.48.21",FALSE
"1349","2/29/16 10:32","Klamath Falls","OR","USA","Other","4+ years","The sky warped and something like energy.","3/4/22",NA,"https://www.nuforc.org/webreports/reports/165/S165978.html","966X2022.04.30.18.48.21",FALSE
"1350","10/31/15 20:00",NA,NA,"USA","Other","For the past 7","I remember hearing like a banging noise","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166651.html","967X2022.04.30.18.48.21",FALSE
"1351","5/10/15 13:00","Elkmont","AL","USA","Changing","10 minutes","Low level, cloaked, morphed, silent, incredible.","3/4/22",NA,"https://www.nuforc.org/webreports/reports/165/S165966.html","968X2022.04.30.18.48.21",FALSE
"1352","1/15/15 11:00","New Mexico","NM","USA","Triangle","Long time","They have been taking me since I was little and I seen it this time flying right next to our van a big triangle","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166370.html","969X2022.04.30.18.48.21",FALSE
"1353","10/3/14 22:00","Austin","TX","USA","Changing","20 minutes","Several UFO<U+0092>s moving towards me slowly then turned into one humungous mother ship with smaller ships flying beside it.","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166981.html","970X2022.04.30.18.48.21",FALSE
