"X","Date.Time","City","State","Country","Shape","Duration","Summary","Posted","Image","URL","ID","madar"
1407,"2/16/78 21:30","Santa Cruz","CA","USA",NA,"20 minutes","Light in the sky","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166907.html","1024X2022.04.30.18.48.21",FALSE
1408,"4/15/77 21:00","Danielsville","GA","USA",NA,"A few hours","My mother and I saw this big bright orangish-yellow light in the woods near the trailer park where we lived back in the 1970's.","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166289.html","1025X2022.04.30.18.48.21",FALSE
1409,"3/14/77 15:00","Riverside","CA","USA","Circle","over an hour","we looked up in the sky and saw 3 large metallic looking discs hovering way up in the sky. they did not move for an hour","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166066.html","1026X2022.04.30.18.48.21",FALSE
1410,"9/12/75 22:00","St Augustine Pass Las Cruces","NM","USA","Circle","15 minutes","two moons on the mountain pass","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166083.html","1027X2022.04.30.18.48.21",FALSE
1411,"9/15/72 19:25","greensboro","NC","USA","Oval","25minutes","the ufo looked like it was looking for something","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166125.html","1028X2022.04.30.18.48.21",FALSE
1412,"8/1/72 20:45","Pittsburg","KS","USA","Triangle","About 30 seconds","Full Triangle shaped with white light on each corner, silent, moving faster than most airplanes or jets I have seen.","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166214.html","1029X2022.04.30.18.48.21",FALSE
1413,"6/12/71 23:59","Rowland","NC","USA","Triangle","Observed 3 minutes","Triangular shaped with 3 blindingly bright lights gliding silently over my head and onto bypass.","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166689.html","1030X2022.04.30.18.48.21",FALSE
1414,"10/7/69 17:39","Olney","IL","USA","Cigar","10 min","The object was over a 1500 sq.ft.home. About 200 ft above the home and was the same size.","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166067.html","1031X2022.04.30.18.48.21",FALSE
1415,"7/10/67 13:00","leading tickles","Newfoundland and Labrador","Canada","Unknown","20 minutes or longer","over cemetery a blinding light shining at me","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166818.html","1032X2022.04.30.18.48.21",FALSE
1416,"6/21/64 20:00","South Ozone Park, Queens, NYC","NY","USA","Disk","5 minutes total","Playing in the dark, suddenly lit up like day light, looked up to see craft clearly","3/4/22","Yes","https://www.nuforc.org/webreports/reports/166/S166382.html","1033X2022.04.30.18.48.21",FALSE
1417,"1/10/63 09:15","Tambaram, Chennai (India)","Tamil Nadu","India","Sphere","3 minutes","Orb strike against my grandmothers head","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166332.html","1034X2022.04.30.18.48.21",FALSE
1418,"10/29/59 17:58","Boston","MA","USA","Disk","Several hours","See Boston Globe newspaper of that sighting and my version.","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166452.html","1035X2022.04.30.18.48.21",FALSE
NA,"5/12/22 22:16","Gulfport","MS","USA","Circle","Just about 10 seconds","saw 2 very huge Florissant ((sic.  Fluorescent)) green circles that seemed attached that were vertical,moving south to north in the sky","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167869.html","1X2022.06.05.10.29.06",NA
NA,"5/12/22 06:30","Whittlesey","Cambridgeshire","United Kingdom","Light","10-15 mins","A moving orb which went into the sky and then towards us . It never followed a straight path and moved in several directions .","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167813.html","2X2022.06.05.10.29.06",NA
NA,"5/12/22 04:00","Windham","ME","USA","Circle","about 4 minutes","Formation of about 50 of more ufo's moving to the north east.  ((NUFOC Note:  Prbably Starlink satellites.  P))","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167831.html","3X2022.06.05.10.29.06",NA
NA,"5/12/22 00:38","Liverpool","United Kingdom","United Kingdom","Unknown","4 seconds","Bright ++ white light flying in a downwards direction then disappeared after approx 4 seconds.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167838.html","4X2022.06.05.10.29.06",NA
NA,"5/12/22 00:01","Gordonsville","WV","USA","Unknown","15 minutes","AC reported numerous slow moving lights west to east above flight level 390","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167829.html","5X2022.06.05.10.29.06",NA
NA,"5/11/22 23:21","Valleystream","NY","USA","Circle","About 4-5 mins","Bright reddish orange color light that seemed to be circular moving with no real flight path","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167872.html","6X2022.06.05.10.29.06",NA
NA,"5/11/22 23:17","Amarillo","TX","USA","Light","12:45","Jolting dot of light in the sky","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167870.html","7X2022.06.05.10.29.06",NA
